"priority","player_id","player_name","category","backlog_type","question_or_task","recommended_source","owner","next_action","source_status"
"Medium","skoove","Skoove","learning","Open evidence question","Ownership and funding","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app sources linked; needs Appfigures"
"Medium","skoove","Skoove","learning","Open evidence question","Current app performance","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app sources linked; needs Appfigures"
"Medium","skoove","Skoove","learning","Open evidence question","B2C vs partnership motion","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app sources linked; needs Appfigures"
"Medium","skoove","Skoove","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Public product/app sources linked; needs Appfigures"
"High","justinguitar","JustinGuitar","practice","Open evidence question","Current audience size","Appfigures | Audience source | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public app/site sources linked; needs audience data"
"High","justinguitar","JustinGuitar","practice","Open evidence question","App conversion and course economics","Appfigures | Audience source | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public app/site sources linked; needs audience data"
"Normal","artie-piano","Artie Piano","learning","Open evidence question","Traction beyond app listing","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public ArtMaster/app sources linked; needs traction validation"
"Normal","artie-piano","Artie Piano","learning","Open evidence question","Retention and paid conversion","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public ArtMaster/app sources linked; needs traction validation"
"Normal","artie-piano","Artie Piano","learning","Open evidence question","Model/feedback quality against established piano apps","Appfigures | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public ArtMaster/app sources linked; needs traction validation"
"High","fender","Fender","hardware","Open evidence question","Current beginner-bundle strategy","Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public company/product sources linked; needs market validation"
"High","fender","Fender","hardware","Open evidence question","Retail and connected hardware partnerships","Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public company/product sources linked; needs market validation"
"High","fender","Fender","hardware","Open evidence question","Internal relationship opportunities","Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public company/product sources linked; needs market validation"
"High","yamaha","Yamaha","hardware","Open evidence question","Current digital-learning partnerships","Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public company/product source linked; needs performance validation"
"High","yamaha","Yamaha","hardware","Open evidence question","Regional education priorities","Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public company/product source linked; needs performance validation"
"Medium","thomann","Thomann","hardware","Open evidence question","Traffic and conversion behavior","Similarweb | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public commerce/company sources linked; needs traffic data"
"Medium","thomann","Thomann","hardware","Open evidence question","Beginner-bundle behavior","Similarweb | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public commerce/company sources linked; needs traffic data"
"Medium","thomann","Thomann","hardware","Open evidence question","Partnership openness","Similarweb | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public commerce/company sources linked; needs traffic data"
"Medium","thomann","Thomann","hardware","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Company source","Partnerships","Fill live-overrides-template.json or Airtable metrics fields.","Public commerce/company sources linked; needs traffic data"
"Normal","sweetwater","Sweetwater","hardware","Open evidence question","Beginner bundle strategy","Similarweb | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public commerce/company sources linked; needs traffic data"
"Normal","sweetwater","Sweetwater","hardware","Open evidence question","Education or referral partnerships","Similarweb | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public commerce/company sources linked; needs traffic data"
"Normal","sweetwater","Sweetwater","hardware","Open evidence question","Retail-to-learning funnel data","Similarweb | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Public commerce/company sources linked; needs traffic data"
"Medium","sweetwater","Sweetwater","hardware","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Company source","Partnerships","Fill live-overrides-template.json or Airtable metrics fields.","Public commerce/company sources linked; needs traffic data"
"High","bandlab","BandLab","creation","Open evidence question","Creator-to-learner overlap","Appfigures | Crunchbase | Audience source | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs company + funding + app data"
"High","bandlab","BandLab","creation","Open evidence question","Current monetization and AI roadmap","Appfigures | Crunchbase | Audience source | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs company + funding + app data"
"Medium","musescore","MuseScore","creation","Open evidence question","Learner usage vs creator usage","Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product sources linked; needs traffic data"
"Medium","musescore","MuseScore","creation","Open evidence question","Bundling with Ultimate Guitar/Muse Group","Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product sources linked; needs traffic data"
"Medium","musescore","MuseScore","creation","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Company source","Creator ecosystem","Fill live-overrides-template.json or Airtable metrics fields.","Public product sources linked; needs traffic data"
"Medium","songsterr","Songsterr","practice","Open evidence question","Traffic and app performance","Appfigures | Similarweb | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public app/product sources linked; needs traffic data"
"Medium","songsterr","Songsterr","practice","Open evidence question","Licensing and catalog depth","Appfigures | Similarweb | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public app/product sources linked; needs traffic data"
"Medium","songsterr","Songsterr","practice","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Company source","Practice & content","Fill live-overrides-template.json or Airtable metrics fields.","Public app/product sources linked; needs traffic data"
"High","splice","Splice","creation","Open evidence question","Hobbyist vs professional usage","Crunchbase | Audience source | Programme source | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs company + funding source"
"High","splice","Splice","creation","Open evidence question","AI licensing/commercial model details","Crunchbase | Audience source | Programme source | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs company + funding source"
"Medium","ableton","Ableton","creation","Open evidence question","Learning/onboarding influence for beginners","Audience source | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public company/product source linked; needs performance validation"
"Medium","ableton","Ableton","creation","Open evidence question","Education channel signal","Audience source | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public company/product source linked; needs performance validation"
"High","suno","Suno","ai","Open evidence question","Licensing status by label","Crunchbase | Legal/news | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Needs funding + legal + usage source"
"High","suno","Suno","ai","Open evidence question","Consumer adoption, retention, and paid conversion","Crunchbase | Legal/news | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Needs funding + legal + usage source"
"High","udio","Udio","ai","Open evidence question","Status of licensed product launch","Crunchbase | Legal/news | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Needs funding + legal + usage source"
"High","udio","Udio","ai","Open evidence question","Impact on broader AI music legitimacy","Crunchbase | Legal/news | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Needs funding + legal + usage source"
"High","moises","Moises","ai","Open evidence question","App growth trend","Appfigures | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Needs app + company source"
"High","moises","Moises","ai","Open evidence question","Partnership and education revenue relevance","Appfigures | Company source","AI strategy","Resolve before board-ready use if this player is cited.","Needs app + company source"
"High","duolingo","Duolingo","education","Open evidence question","Transferability of language-learning loops to music practice","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Needs public filings + product source"
"High","duolingo","Duolingo","education","Open evidence question","Music course relevance, if any","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Needs public filings + product source"
"Normal","kahoot","Kahoot","education","Open evidence question","School distribution depth by market","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public company/product sources linked; needs market validation"
"Normal","kahoot","Kahoot","education","Open evidence question","Learning platform AI adoption","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public company/product sources linked; needs market validation"
"Normal","kahoot","Kahoot","education","Open evidence question","Relevance transfer to music learning","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public company/product sources linked; needs market validation"
"Normal","brilliant","Brilliant","education","Open evidence question","Habit mechanics that transfer to music","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public company/product source linked; needs performance validation"
"Normal","brilliant","Brilliant","education","Open evidence question","Depth vs casual learner fit","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public company/product source linked; needs performance validation"
"Medium","marty-music","Marty Music","practice","Open evidence question","Audience scale","Similarweb | Audience source | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public web/creator sources linked; needs audience data"
"Medium","marty-music","Marty Music","practice","Open evidence question","Partnership fit and content overlap","Similarweb | Audience source | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public web/creator sources linked; needs audience data"
"Normal","berklee-online","Berklee Online","education","Open evidence question","Consumer beginner relevance","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public institution/program sources linked; needs adoption data"
"Normal","berklee-online","Berklee Online","education","Open evidence question","Partnership or credibility role","Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public institution/program sources linked; needs adoption data"
"Normal","mtna","MTNA","education","Open evidence question","Digital-learning adoption among members","Award source | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public association source linked; needs adoption data"
"Normal","mtna","MTNA","education","Open evidence question","Potential teacher-trust implications","Award source | Company source","Learning strategy","Resolve before board-ready use if this player is cited.","Public association source linked; needs adoption data"
"Normal","rsi","Rousseau","practice","Open evidence question","Audience scale","Audience source | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Creator/audience source linked; needs audience validation"
"Normal","rsi","Rousseau","practice","Open evidence question","Current content cadence","Audience source | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Creator/audience source linked; needs audience validation"
"Normal","rsi","Rousseau","practice","Open evidence question","Relevance beyond piano aspiration","Audience source | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Creator/audience source linked; needs audience validation"
"Medium","apple-garageband","GarageBand","creation","Open evidence question","Learning-to-creation journey overlap","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public Apple product source linked; needs usage validation"
"Medium","apple-garageband","GarageBand","creation","Open evidence question","Current AI/creator-tool direction from Apple","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public Apple product source linked; needs usage validation"
"Normal","accel","Accel","signals","Open evidence question","Music/education/AI investment theses","Crunchbase | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public portfolio/source linked; needs monitoring setup"
"Normal","accel","Accel","signals","Open evidence question","Relevant portfolio companies","Crunchbase | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public portfolio/source linked; needs monitoring setup"
"Normal","techcrunch","TechCrunch","signals","Open evidence question","Automated query setup","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public monitoring source linked; needs feed setup"
"Normal","techcrunch","TechCrunch","signals","Open evidence question","Signal quality vs noise","Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public monitoring source linked; needs feed setup"
"Normal","bett-awards","BETT Awards","signals","Open evidence question","Fit for Yousician/GuitarTuna positioning","Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs criteria review"
"Normal","bett-awards","BETT Awards","signals","Open evidence question","Submission timing and category relevance","Award source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public award source linked; needs criteria review"
"Normal","creative-europe","Creative Europe","signals","Open evidence question","Eligibility of music-learning/digital projects","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs eligibility review"
"Normal","creative-europe","Creative Europe","signals","Open evidence question","Consortium requirements and timing","Crunchbase | Programme source | Company source","Strategy / monitoring","Resolve before board-ready use if this player is cited.","Public funding source linked; needs eligibility review"
"High","guitar-tricks","Guitar Tricks","learning","Open evidence question","Current traffic and app performance","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public app/product sources linked; needs Appfigures + traffic data"
"High","guitar-tricks","Guitar Tricks","learning","Open evidence question","Ownership/company structure confirmation","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public app/product sources linked; needs Appfigures + traffic data"
"High","guitar-tricks","Guitar Tricks","learning","Open evidence question","Subscription conversion benchmarks","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public app/product sources linked; needs Appfigures + traffic data"
"High","guitar-tricks","Guitar Tricks","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Public app/product sources linked; needs Appfigures + traffic data"
"Normal","truefire","TrueFire","learning","Open evidence question","Traffic and app performance","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app sources linked; needs traffic data"
"Normal","truefire","TrueFire","learning","Open evidence question","Ownership/company structure","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app sources linked; needs traffic data"
"Normal","truefire","TrueFire","learning","Open evidence question","Teacher-marketplace economics","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app sources linked; needs traffic data"
"Medium","truefire","TrueFire","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Public product/app sources linked; needs traffic data"
"High","pickup-music","Pickup Music","learning","Open evidence question","Traffic and app performance","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app/company sources linked; needs traffic data"
"High","pickup-music","Pickup Music","learning","Open evidence question","Ownership/current company structure","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app/company sources linked; needs traffic data"
"High","pickup-music","Pickup Music","learning","Open evidence question","Instructor feedback economics","Appfigures | Similarweb | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Public product/app/company sources linked; needs traffic data"
"High","pickup-music","Pickup Music","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Public product/app/company sources linked; needs traffic data"
"High","rocksmith-plus","Rocksmith+","learning","Open evidence question","Current song catalog strength","Appfigures","Competitive intel","Resolve before board-ready use if this player is cited.","Needs app data + catalog + subscription performance"
"High","rocksmith-plus","Rocksmith+","learning","Open evidence question","Subscription retention and platform split","Appfigures","Competitive intel","Resolve before board-ready use if this player is cited.","Needs app data + catalog + subscription performance"
"High","gibson-app","Gibson App","learning","Open evidence question","App performance","Appfigures","Competitive intel","Resolve before board-ready use if this player is cited.","Needs Appfigures + bundle performance"
"High","gibson-app","Gibson App","learning","Open evidence question","Impact of guitar/amp purchase bundles","Appfigures","Competitive intel","Resolve before board-ready use if this player is cited.","Needs Appfigures + bundle performance"
"High","gibson-app","Gibson App","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Needs Appfigures + bundle performance"
"Normal","piano-marvel","Piano Marvel","learning","Open evidence question","School/studio penetration","Appfigures","Competitive intel","Resolve before board-ready use if this player is cited.","Needs app + school channel validation"
"Normal","piano-marvel","Piano Marvel","learning","Open evidence question","Current app and subscription performance","Appfigures","Competitive intel","Resolve before board-ready use if this player is cited.","Needs app + school channel validation"
"Normal","melodics","Melodics","learning","Open evidence question","Instrument mix and retention","Appfigures | Audience source | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Needs Appfigures + company source"
"Normal","melodics","Melodics","learning","Open evidence question","Fit with guitar-first Yousician strategy","Appfigures | Audience source | Company source","Competitive intel","Resolve before board-ready use if this player is cited.","Needs Appfigures + company source"
"Medium","melodics","Melodics","learning","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Audience source | Company source","Competitive intel","Fill live-overrides-template.json or Airtable metrics fields.","Needs Appfigures + company source"
"High","chordify","Chordify","practice","Open evidence question","Rights/copyright model","Appfigures | Similarweb | Legal/news | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public app/support sources linked; needs traffic data"
"High","chordify","Chordify","practice","Open evidence question","App performance and conversion","Appfigures | Similarweb | Legal/news | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public app/support sources linked; needs traffic data"
"High","chordify","Chordify","practice","Open evidence question","Ownership/current company structure","Appfigures | Similarweb | Legal/news | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Public app/support sources linked; needs traffic data"
"High","chordify","Chordify","practice","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Legal/news | Company source","Practice & content","Fill live-overrides-template.json or Airtable metrics fields.","Public app/support sources linked; needs traffic data"
"Normal","soundslice","Soundslice","practice","Open evidence question","Teacher adoption scale","Similarweb | Audience source","Practice & content","Resolve before board-ready use if this player is cited.","Needs traffic + teacher-channel validation"
"Normal","soundslice","Soundslice","practice","Open evidence question","Transcription and AI roadmap","Similarweb | Audience source","Practice & content","Resolve before board-ready use if this player is cited.","Needs traffic + teacher-channel validation"
"Medium","soundslice","Soundslice","practice","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Audience source","Practice & content","Fill live-overrides-template.json or Airtable metrics fields.","Needs traffic + teacher-channel validation"
"Medium","guitar-pro","Guitar Pro","practice","Open evidence question","Current mobile usage","Appfigures | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Needs app + usage source"
"Medium","guitar-pro","Guitar Pro","practice","Open evidence question","AI tab creation and arrangement roadmap","Appfigures | Company source","Practice & content","Resolve before board-ready use if this player is cited.","Needs app + usage source"
"High","youtube-artists","YouTube","practice","Open evidence question","Yousician search/funnel impact","Audience source","Practice & content","Resolve before board-ready use if this player is cited.","Needs internal funnel + YouTube trend monitoring"
"High","youtube-artists","YouTube","practice","Open evidence question","Creator partnership opportunities","Audience source","Practice & content","Resolve before board-ready use if this player is cited.","Needs internal funnel + YouTube trend monitoring"
"High","youtube-artists","YouTube","practice","Open evidence question","Short-form lesson behavior","Audience source","Practice & content","Resolve before board-ready use if this player is cited.","Needs internal funnel + YouTube trend monitoring"
"High","gibson","Gibson","hardware","Open evidence question","Bundle conversion","Appfigures | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Needs company + bundle performance source"
"High","gibson","Gibson","hardware","Open evidence question","Retail/channel strategy for beginners","Appfigures | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Needs company + bundle performance source"
"High","positive-grid","Positive Grid","hardware","Open evidence question","Spark unit sales","Appfigures","Partnerships","Resolve before board-ready use if this player is cited.","Needs sales + app data + AI feature tracking"
"High","positive-grid","Positive Grid","hardware","Open evidence question","AI feature adoption","Appfigures","Partnerships","Resolve before board-ready use if this player is cited.","Needs sales + app data + AI feature tracking"
"High","positive-grid","Positive Grid","hardware","Open evidence question","Practice engagement through the app","Appfigures","Partnerships","Resolve before board-ready use if this player is cited.","Needs sales + app data + AI feature tracking"
"Normal","reverb","Reverb","hardware","Open evidence question","Post-Etsy ownership strategy and operating changes","Appfigures | Similarweb | Crunchbase | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Official app and ownership-close sources linked; needs traffic + category data"
"Normal","reverb","Reverb","hardware","Open evidence question","Beginner gear demand","Appfigures | Similarweb | Crunchbase | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Official app and ownership-close sources linked; needs traffic + category data"
"Normal","reverb","Reverb","hardware","Open evidence question","Category and geography split","Appfigures | Similarweb | Crunchbase | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Official app and ownership-close sources linked; needs traffic + category data"
"Medium","reverb","Reverb","hardware","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Similarweb | Crunchbase | Company source","Partnerships","Fill live-overrides-template.json or Airtable metrics fields.","Official app and ownership-close sources linked; needs traffic + category data"
"Normal","guitar-center","Guitar Center","hardware","Open evidence question","Lesson volume and demographics","Company source","Partnerships","Resolve before board-ready use if this player is cited.","Needs retail + lesson volume source"
"Normal","guitar-center","Guitar Center","hardware","Open evidence question","Referral or bundle potential","Company source","Partnerships","Resolve before board-ready use if this player is cited.","Needs retail + lesson volume source"
"Normal","boss","BOSS / Roland","hardware","Open evidence question","Connected app roadmap","Appfigures | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Needs product roadmap + connected app source"
"Normal","boss","BOSS / Roland","hardware","Open evidence question","Beginner-friendly practice product strategy","Appfigures | Company source","Partnerships","Resolve before board-ready use if this player is cited.","Needs product roadmap + connected app source"
"Medium","soundtrap","Soundtrap","creation","Open evidence question","Education adoption","Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product/education sources linked; needs usage data"
"Medium","soundtrap","Soundtrap","creation","Open evidence question","Spotify integration direction","Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product/education sources linked; needs usage data"
"Medium","soundtrap","Soundtrap","creation","Open evidence question","AI feature roadmap","Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public product/education sources linked; needs usage data"
"Medium","soundtrap","Soundtrap","creation","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Similarweb | Company source","Creator ecosystem","Fill live-overrides-template.json or Airtable metrics fields.","Public product/education sources linked; needs usage data"
"High","fl-studio","FL Studio","creation","Open evidence question","FL Studio Web adoption","Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs product + web beta monitoring"
"High","fl-studio","FL Studio","creation","Open evidence question","Beginner creator onboarding and AI assistance","Similarweb | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs product + web beta monitoring"
"Normal","soundcloud","SoundCloud","creation","Open evidence question","Current AI-content policy","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public company/app/artist sources linked; needs AI policy monitoring"
"Normal","soundcloud","SoundCloud","creation","Open evidence question","Creator tool direction","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public company/app/artist sources linked; needs AI policy monitoring"
"Normal","soundcloud","SoundCloud","creation","Open evidence question","Distribution strategy and artist economics","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public company/app/artist sources linked; needs AI policy monitoring"
"Normal","distrokid","DistroKid","creation","Open evidence question","AI music distribution policy","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public distribution/app sources linked; needs artist-count + policy monitoring"
"Normal","distrokid","DistroKid","creation","Open evidence question","Artist count and retention","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public distribution/app sources linked; needs artist-count + policy monitoring"
"Normal","distrokid","DistroKid","creation","Open evidence question","Creator-service attach rate","Appfigures | Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Public distribution/app sources linked; needs artist-count + policy monitoring"
"Medium","distrokid","DistroKid","creation","Credentialed data needed","Pull external metrics for size, reach, revenue, traffic, rank, or usage.","Appfigures | Company source","Creator ecosystem","Fill live-overrides-template.json or Airtable metrics fields.","Public distribution/app sources linked; needs artist-count + policy monitoring"
"Medium","landr","LANDR","creation","Open evidence question","Distribution policy for AI-assisted content","Audience source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs usage + distribution policy tracking"
"Medium","landr","LANDR","creation","Open evidence question","Creator services attach rate","Audience source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Needs usage + distribution policy tracking"
"Normal","native-instruments","Native Instruments","creation","Open evidence question","Deal close / final ownership status after the May 2026 agreement","Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Official company plus acquisition-announcement sources linked; closing/status and roadmap need monitoring"
"Normal","native-instruments","Native Instruments","creation","Open evidence question","Effect on beginner/accessible production strategy","Company source","Creator ecosystem","Resolve before board-ready use if this player is cited.","Official company plus acquisition-announcement sources linked; closing/status and roadmap need monitoring"
