"priority","source_id","title","type","tier","access_status","used_by","url","quality_note","recommended_action"
"Medium","chordify_official","Chordify","Official product","High","access-restricted","Chordify","https://chordify.net/","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","chordify_google_play","Chordify on Google Play","App store","Medium","verified","Chordify","https://play.google.com/store/apps/details?hl=en_US&id=net.chordify.chordify","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","guitar_pro_google_play","Guitar Pro on Google Play","App store","Medium","verified","Guitar Pro","https://play.google.com/store/apps/details?hl=en_US&id=com.arobasmusic.guitarpro","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","youtube_oac_support","YouTube for Artists resources","Official product","Medium","verified","YouTube","https://artists.youtube/resources/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Medium","reverb_official","Reverb","Official company","High","access-restricted","Reverb","https://reverb.com/","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","fl_studio_web_news","FL Studio Web public beta signal","News / market signal","Medium","verified","FL Studio","https://www.musicradar.com/music-tech/daws/fl-studio-is-coming-to-your-browser-image-line-announces-fl-studio-web-in-bid-to-lower-the-barrier-to-entry-for-new-users","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Medium","distrokid_official","DistroKid","Official product","High","access-restricted","DistroKid","https://distrokid.com/","Automated URL check returned 403; manually open before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","distrokid_google_play","DistroKid on Google Play","App store","Medium","verified","DistroKid","https://play.google.com/store/apps/details?hl=en_US&id=com.distrokid.dk","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","bandcamp_ai_policy_news","Bandcamp AI music policy signal","News / market signal","Medium","verified","Bandcamp","https://pitchfork.com/news/bandcamp-announces-ban-on-ai-music","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","lalal_ai_google_play","LALAL.AI on Google Play","App store","Medium","verified","LALAL.AI","https://play.google.com/store/apps/details?hl=en_US&id=com.omnisale.lalal.ai","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","spotify_artists_app_store","Spotify for Artists on App Store","App store","Medium","verified","Spotify for Artists","https://apps.apple.com/us/app/spotify-for-artists/id1222021797","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","spotify_artists_support","Spotify for Artists support","Official support","Medium","verified","Spotify for Artists","https://support.spotify.com/us/article/spotify-for-artists/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","tiktok_artists_launch","TikTok artist certification help","Official support","Medium","verified","TikTok for Artists","https://artists.tiktok.com/help-center/artist-certification","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","pickup_music_app_store","Pickup Music on the App Store","App store","Medium","verified","Pickup Music","https://apps.apple.com/us/app/pickup-music-guitar-bass/id6503952069","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","musora_app_store","Musora on App Store","App store","Medium","verified","Musora","https://apps.apple.com/us/app/musora-the-music-lessons-app/id1460388277","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","fretello_google_play","Fretello on Google Play","App store","Medium","verified","Fretello","https://play.google.com/store/apps/details?hl=en_US&id=com.fretello.lead","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","playground_sessions_google_play","Playground Sessions on Google Play","App store","Medium","verified","Playground Sessions","https://play.google.com/store/apps/details?hl=en_US&id=com.playgroundsessions","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","tomplay_google_play","Tomplay on Google Play","App store","Medium","verified","Tomplay","https://play.google.com/store/apps/details?hl=en_US&id=com.tombooks.tomplay","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","chord_ai_app_store","Chord ai on App Store","App store","Medium","verified","Chord ai","https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","chord_ai_google_play","Chord ai on Google Play","App store","Medium","verified","Chord ai","https://play.google.com/store/apps/details?hl=en_US&id=com.chordai","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","musicca_official","Musicca music theory and tools","Official product","Medium","verified","Musicca","https://www.musicca.com/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Medium","school_of_rock_lessons","School of Rock music lessons","Official product","Medium","access-restricted","School of Rock","https://www.schoolofrock.com/music-lessons","Automated URL check returned 403; source is official but must be manually opened before board-ready use.","Manual browser review before board use; add backup if needed."
"Normal","donner_google_play","Donner Music on Google Play","App store","Medium","verified","Donner","https://play.google.com/store/apps/details?hl=en_US&id=com.donnermusic","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","beatstars_creators","BeatStars for creators","Official product","Medium","verified","BeatStars","https://www.beatstars.com/creators","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","riffusion_redirect","Riffusion official redirect","Official product","Medium","verified","Flow Music","https://www.riffusion.com/","Automated check shows Riffusion redirects to Flow Music; keep as historical/current naming bridge.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","music_ally_official","Music Ally industry intelligence","Industry research","Medium","verified","Music Ally","https://musically.com/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","namm_official","NAMM official site","Industry association","Medium","verified","NAMM","https://www.namm.org/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","fender_play_app_store","Fender Play on App Store","App store","Medium","verified","Fender Play | Fender","https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","fender_play_google_play","Fender Play on Google Play","App store","Medium","verified","Fender Play | Fender","https://play.google.com/store/apps/details?hl=en_US&id=com.fender.play","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","ultimate_guitar_google_play","Ultimate Guitar on Google Play","App store","Medium","verified","Ultimate Guitar","https://play.google.com/store/apps/details?hl=en_US&id=com.ultimateguitar.tabs","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","guitar_tricks_app_store","Guitar Tricks on App Store","App store","Medium","verified","Guitar Tricks","https://apps.apple.com/us/app/guitar-lessons-guitar-tricks/id931639254","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","chordify_app_store","Chordify on App Store","App store","Medium","verified","Chordify","https://apps.apple.com/us/app/chordify-songs-chords-tuner/id1073624757","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","chordify_support_apps","Chordify app support","Official support","Medium","verified","Chordify","https://support.chordify.net/hc/en-us/articles/360002273038-Chordify-Apps","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","reverb_google_play","Reverb on Google Play","App store","Medium","verified","Reverb","https://play.google.com/store/apps/details?hl=en_US&id=com.reverb.app","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","distrokid_app_store","DistroKid on App Store","App store","Medium","verified","DistroKid","https://apps.apple.com/us/app/distrokid/id1548832265","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","school_of_rock_google_play","School of Rock Method on Google Play","App store","Medium","verified","School of Rock","https://play.google.com/store/apps/details?hl=en_US&id=com.schoolofrock.mobile","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","school_of_rock_app_store","School of Rock Method on App Store","App store","Medium","verified","School of Rock","https://apps.apple.com/us/app/school-of-rock-method/id1462043424","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","sweetwater_app","Sweetwater mobile app","Official product","Medium","verified","Sweetwater","https://www.sweetwater.com/app/","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","truefire_app_store","TrueFire on App Store","App store","Medium","verified","TrueFire","https://apps.apple.com/us/app/truefire-guitar-lessons/id690143001","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","truefire_google_play","TrueFire on Google Play","App store","Medium","verified","TrueFire","https://play.google.com/store/apps/details?hl=en_US&id=com.truefire.android3","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","soundcloud_app_store","SoundCloud on App Store","App store","Medium","verified","SoundCloud","https://apps.apple.com/us/app/soundcloud-the-music-you-love/id336353151","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","aiva_download","AIVA desktop download","Official product","Medium","verified","AIVA","https://www.aiva.ai/download","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","tonebase_piano","tonebase piano lessons","Official product","Medium","verified","tonebase","https://www.tonebase.co/piano","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","artistworks_lapl","ArtistWorks via Los Angeles Public Library","Library / education source","Medium","verified","ArtistWorks","https://www.lapl.org/artist-works","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","musicca_exercises","Musicca exercises","Official product","Medium","verified","Musicca","https://www.musicca.com/exercises","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","simply_google_play_dev","Simply Ltd on Google Play","App store / developer","Medium","verified","Simply","https://play.google.com/store/apps/dev?hl=en_US&id=9173704920238080377","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","simply_app_store_dev","Simply Ltd on App Store","App store / developer","Medium","verified","Simply","https://apps.apple.com/us/developer/simply-ltd/id492065449","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","yamaha_flowkey_promo","Yamaha flowkey promotion","Official partnership","Medium","verified","Flowkey","https://usa.yamaha.com/promotions/flowkey/index.html","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","skoove_app_store","Skoove on App Store","App store","Medium","verified","Skoove","https://apps.apple.com/us/app/skoove-learn-to-play-piano/id1160668178","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","pickup_music_pricing","Pickup Music pricing","Official product","Medium","verified","Pickup Music","https://www.pickupmusic.com/pricing","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Medium","pickup_music_linkedin","Pickup Music company page","Company profile","Low","verified","Pickup Music","https://www.linkedin.com/company/pickup-music-inc","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","artie_review","Artie piano app review by ArtMaster","Official product","Medium","verified","Artie Piano","https://www.artmaster.com/articles/artie-piano-app-review","Automated URL check passed on 2026-06-10.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","a16z_consumer","a16z Consumer","Investor","Medium","verified","a16z Consumer","https://a16z.com/consumer/","Public investor thesis source; deal-level relevance needs periodic portfolio scan.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","general_catalyst_home","General Catalyst","Investor","Medium","verified","General Catalyst","https://www.generalcatalyst.com/","Public company source; specific music-learning relevance needs portfolio and thesis monitoring.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","eit_culture_creativity","EIT Culture & Creativity","Funding","Medium","verified","EIT Culture & Creativity","https://eit-culture-creativity.eu/","Official programme source; opportunity relevance needs recurring calls scan.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","music_tectonics_2026","Music Tectonics","Industry association","Medium","verified","Music Tectonics","https://www.musictectonics.com/","Public conference source; startup lists and session themes need annual extraction.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","learning_technologies_awards","Learning Technologies Awards","Award / recognition","Medium","verified","Learning Technologies Awards","https://www.learningtechnologies.co.uk/learning-tech-awards","Public awards source; music-learning fit is indirect and should be reviewed before prioritization.","Keep as supporting source; add stronger primary source if claim is board-critical."
"Normal","sxsw_edu_launch","SXSW EDU Launch","Award / recognition","Medium","verified","SXSW EDU Launch","https://sxswedu.com/competitions/launch/","Public competition source; finalist themes need annual scan for adjacent education-market signals.","Keep as supporting source; add stronger primary source if claim is board-critical."
