claim_id,entity,claim_type,claim,source_url,source_confidence,hard_claim,review_action,last_checked_date
CL-0027,Guitar Tricks,Key-player relevance,"Important guitar-specific subscription benchmark for curriculum depth, song-led learning, and adult beginner messaging.",https://www.guitartricks.com/,Pending,No,Keep as synthesis unless source changes.,2026-06-11
CL-0028,Guitar Tricks,Ownership / investors,Guitar Tricks Inc.,https://www.guitartricks.com/,Pending,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0029,Pickup Music,Key-player relevance,"Useful benchmark for higher-intent guitarists, modern aesthetics, community, and guided weekly practice.",https://www.pickupmusic.com/,Medium,No,Keep as synthesis unless source changes.,2026-06-11
CL-0030,Pickup Music,Ownership / investors,"Pickup Music, Inc.",https://www.pickupmusic.com/,Medium,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0031,Rocksmith+,Key-player relevance,"Important benchmark for real-time feedback, licensed songs, game-like practice, and multi-instrument expansion.",https://www.ubisoft.com/en-us/game/rocksmith/plus,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0032,Rocksmith+,Ownership / investors,Ubisoft,https://www.ubisoft.com/en-us/game/rocksmith/plus,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0033,Gibson App,Key-player relevance,Shows how a major guitar brand can bundle learning with instrument purchase and beginner motivation.,https://www.gibson.app/,Pending,No,Keep as synthesis unless source changes.,2026-06-11
CL-0034,Gibson App,Ownership / investors,Gibson,https://www.gibson.app/,Pending,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0035,Chordify,Key-player relevance,Owns a high-intent moment between song discovery and self-guided practice.,https://chordify.net/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0036,Chordify,Ownership / investors,Chordify B.V.,https://chordify.net/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0037,YouTube,Key-player relevance,"A major substitute and funnel for self-guided learning; it shapes inspiration, discovery, and expectations of free content.",https://artists.youtube/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0038,YouTube,Ownership / investors,Google / Alphabet,https://artists.youtube/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0039,Gibson,Key-player relevance,Hardware brands can capture learner intent before software choice and can bundle education into purchase moments.,https://www.gibson.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0040,Gibson,Ownership / investors,Private,https://www.gibson.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0041,Positive Grid,Key-player relevance,Shows how hardware can become an app-led practice surface and compete for daily guitar time.,https://www.positivegrid.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0042,Positive Grid,Ownership / investors,Private,https://www.positivegrid.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0043,FL Studio,Key-player relevance,"Shapes the path from musical interest to beat-making, production, and creator identity.",https://www.image-line.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0044,FL Studio,Ownership / investors,Image-Line,https://www.image-line.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0045,ElevenLabs Music,Key-player relevance,"Important because major AI audio platforms may enter music creation, rights, and creator tooling at scale.",https://elevenlabs.io/music,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0046,ElevenLabs Music,Ownership / investors,Private,https://elevenlabs.io/music,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0047,Spotify for Artists,Key-player relevance,"Important for how hobbyists understand music success, release goals, artist identity, and AI-authenticity debates.",https://artists.spotify.com/en/home,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0048,Spotify for Artists,Ownership / investors,Spotify,https://artists.spotify.com/en/home,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0049,TikTok for Artists,Key-player relevance,"TikTok can shape song discovery, cultural momentum, and what learners want to play.",https://artists.tiktok.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0050,TikTok for Artists,Ownership / investors,ByteDance,https://artists.tiktok.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0051,Musora,Key-player relevance,Adds an important multi-instrument subscription benchmark beyond single-instrument apps.,https://www.musora.com/,Low,No,Keep as synthesis unless source changes.,2026-06-11
CL-0052,Musora,Ownership / investors,Private,https://www.musora.com/,Low,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0053,Fretello,Key-player relevance,"Directly relevant for guitar onboarding, lesson pacing, personalization, and app-store positioning.",https://fretello.com/app/,Pending,No,Keep as synthesis unless source changes.,2026-06-11
CL-0054,Fretello,Ownership / investors,Fretello GmbH,https://fretello.com/app/,Pending,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0055,Chord ai,Key-player relevance,Important because it moves AI directly into the song-to-practice moment that GuitarTuna/Yousician users care about.,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,Pending,No,Keep as synthesis unless source changes.,2026-06-11
CL-0056,Chord ai,Ownership / investors,Nomad AI,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,Pending,Yes,Validate with official/company/investor database before investor-facing use.,2026-06-11
CL-0057,Suno / Udio / RIAA,Market move,2024-06-24: Major record companies filed copyright infringement cases against Suno and Udio.,https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0058,European Union AI Act,Market move,"2024-08-01: The EU AI Act entered into force, with transparency rules for AI-generated content and GPAI obligations phasing in.",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0059,TikTok Music,Market move,2024-09-24: TikTok announced it would shut down TikTok Music and focus on music discovery in the main TikTok app.,https://www.businessinsider.com/tiktok-abandoning-plan-to-challenge-spotify-apple-in-music-streaming-2024-9,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0060,Duolingo / Loog,Market move,2024-09-25: Duolingo Music was linked to a beginner-friendly portable piano product with Loog.,https://www.theverge.com/2024/9/25/24253932/duolingo-loog-portable-green-piano-music-lessons,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0061,YouTube Dream Track,Market move,2024-11-12: YouTube tested AI restyling of licensed songs for Shorts using Dream Track technology.,https://www.theverge.com/2024/11/12/24294891/youtube-ai-restyle-music-creators,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0062,Microsoft TakeLessons,Market move,"2024-11-15: Microsoft's TakeLessons marketplace closed, with account access ending in November 2024.",https://learn.microsoft.com/en-us/takelessons/takelessons-closure-faq,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0063,Music.AI / Moises,Market move,2025-01-22: Music.AI raised a $40M Series A and reported Moises at 50M users.,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0064,U.S. Copyright Office,Market move,2025-01-29: The U.S. Copyright Office published Part 2 of its AI report on copyrightability of AI outputs.,https://www.copyright.gov/ai/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0065,School of Rock,Market move,2025-03-17: School of Rock social channels referenced roughly 400 global locations.,https://www.schoolofrock.com/locations,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0066,Splice / Spitfire Audio,Market move,2025-04-28: Splice announced the acquisition of Spitfire Audio.,https://www.prnewswire.com/news-releases/splice-to-supercharge-music-creation-ecosystem-with-acquisition-of-spitfire-audio-positioning-itself-to-lead-in-the-7b-music-software-and-services-sector-302439458.html,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0067,TikTok for Artists,Market move,"2025-06-03: TikTok for Artists launched globally after beta testing, initially in 26 countries.",https://newsroom.tiktok.com/en-us/tiktok-for-artists-launches,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0068,ElevenLabs Music,Market move,2025-08-01: ElevenLabs launched Eleven Music for prompt-based music generation.,https://elevenlabs.io/blog/eleven-music-is-here,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0069,Moises AI Studio,Market move,2025-08-20: Moises launched AI Studio for adaptive AI music creation support.,https://moises.ai/newsroom/product-announcements/launch-ai-studio/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0070,Spotify,Market move,2025-09-25: Spotify announced stronger AI protections for artists and songwriters.,https://newsroom.spotify.com/2025-09-25/spotify-strengthens-ai-protections/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0071,Creative Europe MEDIA,Market move,2025-09-30: The 2026 Video Games and Immersive Content Development call opened.,https://www.creativeeuropeireland.eu/funding-opportunities/call/video-games-immersive-content,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0072,Splice INSTRUMENT,Market move,2025-10-02: Splice moved beyond samples with a cloud-connected instrument plugin drawing on Spitfire libraries.,https://www.musicradar.com/music-tech/for-the-first-time-were-moving-beyond-samples-splice-unveils-free-plugin-and-virtual-instrument-platform-with-hundreds-of-free-presets,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0073,UMG / Udio,Market move,2025-10-29: UMG and Udio settled litigation and announced agreements for a licensed AI music creation platform planned for 2026.,https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0074,Suno,Market move,2025-11-19: Suno raised a $250M Series C at a $2.45B post-money valuation.,https://suno.com/blog/series-c-announcement,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0075,Warner Music Group / Suno,Market move,2025-11-25: Warner Music Group and Suno announced a partnership and settlement path for licensed AI models.,https://www.wmg.com/news/warner-music-group-and-suno-forge-groundbreaking-partnership,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0076,Spotify Wrapped for Artists,Market move,"2025-12-03: Spotify provided personalized Wrapped experiences for artists, songwriters, creators and advertisers.",https://newsroom.spotify.com/2025-12-03/wrapped-for-artists-songwriters-creators-authors-advertisers/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0077,TikTok Year in Music,Market move,2025-12-10: TikTok named global 2025 music signals and highlighted Add to Music App behavior.,https://newsroom.tiktok.com/tiktok-reveals-the-top-artists-and-songs-of-2025?lang=en,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0078,WorldWiDE EdTech Awards,Market move,2025-12-14: The 2026 WorldWiDE EdTech Awards nomination deadline closed.,https://worldwide-edtech.org/faq,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0079,EIC Accelerator,Market move,2026-01-07: The first 2026 EIC Accelerator full-application cut-off occurred.,https://innovation-manager.com/eic-accelerator-2026-key-application-dates-announced/,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0080,Webby Awards,Market move,2026-02-06: The 30th Annual Webby Awards extended entry deadline closed.,https://www.webbyawards.com/how-to-enter-the-webby-awards/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0081,Creative Europe MEDIA,Market move,2026-02-11: The 2026 Video Games and Immersive Content Development call deadline closed.,https://www.euro-access.eu/en/calls/2391/Video-games-and-immersive-content-development,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0082,EdTech Awards,Market move,2026-03-01: The EdTech Awards 2026 announced finalists and winners in March 2026.,https://www.edtechdigest.com/2026-finalists-winners/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0083,Spotify Loud & Clear,Market move,2026-03-15: Spotify's 2026 transparency reporting said 2025 payouts to the music industry exceeded $11B.,https://www.musicradar.com/music-industry/streaming-sharing/spotify-is-the-highest-paying-retailer-globally-paying-the-music-industry-more-than-usd11-billion-in-2025-spotify-reveals-how-much-it-actually-pays-out-to-musicians-in-its-new-loud-and-clear-report,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0084,Splice,Market move,2026-04-15: Splice announced generative AI tools tied to its creator compensation model.,https://www.musicbusinessworldwide.com/splice-launches-ai-tools-that-compensate-sample-creators-when-their-sounds-are-used/,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0085,Brandon Hall EdTech Awards,Market move,2026-04-20: The Excellence in EdTech Awards launched for 2026 entries with a September deadline.,https://excellenceawards.brandonhall.com/edtech/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0086,YouTube Music / Premium,Market move,2026-04-30: Alphabet reported record quarterly growth for YouTube Music and Premium non-trial subscribers.,https://www.digitalmusicnews.com/2026/04/30/youtube-music-subscribers-q1-2026/,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0087,Google Play,Market move,2026-05-01: Google Play summarized Q1 2026 discovery and developer tools updates.,https://google.play/the-latest/2026-q1/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0088,Apple Design Awards,Market move,2026-05-18: Apple announced 2026 Apple Design Award finalists.,https://developer.apple.com/news/?id=8t3j66i7,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0089,Google Play Apps Accelerator,Market move,2026-06-01: Google Play announced the first Apps Accelerator class of 2026.,https://developer.android.com/blog/posts/meet-the-class-of-2026-for-the-google-play-apps-accelerator,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0090,AFM / UMG / WMG,Market move,2026-06-05: The American Federation of Musicians sued UMG and WMG over AI licensing to Suno and Udio.,https://pitchfork.com/news/musicians-union-sues-universal-and-warner-over-ai-use,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0091,BandLab SongStarter,Market move,2026-06-08: BandLab's help center updated SongStarter guidance for AI-generated song ideas.,https://help.bandlab.com/hc/en-us/articles/24226593087001-Generate-Ideas-with-SongStarter-AI,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0092,Google / YouTube / Lyria,Market move,2026-06-10: Independent musicians sued Google over alleged use of YouTube-uploaded music for Lyria AI training.,https://www.theverge.com/tech/947770/google-lyria-music-ai-lawsuit-youtube,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0093,Fender Studio Pro / Moises,Market move,2026-06-10: Fender Studio Pro update was reported to integrate Moises stem separation and a smart studio assistant.,https://www.musicradar.com/music-tech/daws/ai-isnt-the-destination-making-music-is-fender-looks-forward-as-its-studio-pro-daw-integrates-moises-stem-separation-and-a-smart-studio-assistant,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0094,Apple Design Awards,Market move,2026-06-10: Apple revealed 2026 Design Award winners across app and game categories.,https://www.apple.com/newsroom/2026/06/apple-reveals-winners-of-the-2026-apple-design-awards/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0095,ABRSM,Market move,"2024-10-01: ABRSM's 2024 impact report quantified global exams, qualifications and teacher support.",https://www.abrsm.org/sites/default/files/2024-09/Impact%20Report%202024%20FINAL.pdf,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0096,Muse Group / Hal Leonard,Market move,2025-01-15: Muse Group unified Hal Leonard US and Europe into a global publishing operation.,https://www.mu.se/posts/muse-group-unifies-hal-leonard-us-and-hal-leonard-europe-into-a-global-powerhouse,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0097,TikTok for Artists beta,Market move,2025-04-10: Coverage indicated TikTok was preparing a dedicated artist insights platform before global launch.,https://www.thefader.com/2025/04/10/tiktok-for-artists-spotify,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0098,Berklee Online,Market move,"2025-05-01: Berklee Online positioned itself as the world's largest online music school with 30,000+ learners from 140+ countries.",https://online.berklee.edu/about/berklee-online,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0099,School of Rock / Warped Tour,Market move,2025-10-22: School of Rock locations announced student performers at Warped Tour Orlando.,https://www.schoolofrock.com/locations/rockvillecentre/news/events/school-of-rock-set-to-hit-the-stage-at-warped-tour-in-orlando,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0100,Menlo Ventures / Suno,Market move,2026-01-22: Menlo framed Suno as participatory music creation in its Series C thesis.,https://menlovc.com/perspective/the-future-of-music-is-participatory-leading-sunos-series-c/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0101,EIC Accelerator,Market move,2026-02-17: 61 startups and SMEs secured EIC Accelerator support in the latest round.,https://eic.ec.europa.eu/news/61-start-ups-and-smes-secure-eic-support-latest-round-eic-accelerator-2026-02-17_en,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0102,Tom's Guide AI Awards,Market move,2026-04-02: Tom's Guide AI Awards nominations closed for 2026.,https://www.tomsguide.com/ai/introducing-the-toms-guide-ai-awards-2026,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0103,Rick Beato / Gibson / Nuno Bettencourt,Market move,2026-05-22: Guitar media highlighted Rick Beato's live collaboration at Six-String Sanctuary and use of signature Gibson gear.,https://www.guitarworld.com/artists/guitarists/nuno-bettencourt-and-rick-beato-play-thin-lizzy,Medium,Yes,Verify source before final board snapshot.,2026-06-11
CL-0104,Business Finland,Market move,2026-06-03: Business Finland funding listings showed open R&D and internationalization funding routes.,https://www.businessfinland.fi/en/services/funding/,High,Yes,Verify source before final board snapshot.,2026-06-11
CL-0105,Simply,App performance,"Google Play public proxy: 10M+ downloads, 4.6 rating, 360K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://play.google.com/store/apps/details?hl=en_US&id=com.joytunes.simplyguitar,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0106,Simply,App performance,"Needs Appfigures; include as Simply portfolio app. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://www.hellosimply.com/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0107,Flowkey,App performance,"Apple public proxy: 4.7 rating, 64K ratings; Google Play public proxy: 10M+ learners claim in listing. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/flowkey-learn-to-play-piano/id1020357408,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0108,Skoove,App performance,"Google Play public proxy: 1M+ downloads, 11.6K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://play.google.com/store/apps/details?hl=en_US&id=com.skoove.piano,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0109,Fender Play,App performance,"Apple public proxy: 4.8 rating, 61K ratings; Google Play public proxy: 1M+ downloads, 13.2K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/fender-play-learn-guitar/id1226057939,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0110,Gibson App,App performance,"Needs Appfigures and public app-store validation. Public proxy, not Appfigures.",https://www.gibson.app/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0111,Moises,App performance,"Apple public proxy: 4.7 rating, 27K ratings; company / MBW proxy: Music.AI says Moises reached 50M users. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0112,Ultimate Guitar,App performance,"Google Play public proxy: 10M+ downloads, 627K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://play.google.com/store/apps/details?hl=en_US&id=com.ultimateguitar.tabs,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0113,MuseScore,App performance,"Apple public proxy: 4.6 rating, 76K ratings; Google Play public proxy: 10M+ downloads, 156K reviews. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/musescore-sheet-music-chords/id835731296,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0114,Songsterr,App performance,"Apple public proxy: 4.7 rating, 42K ratings; listing claims large tab catalog. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0115,Chordify,App performance,"Needs Appfigures / public app-store validation. Public proxy, not Appfigures.",https://chordify.net/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0116,Chord ai,App performance,"Needs Appfigures; public listings validate AI chord recognition. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://chordai.net/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0117,Rocksmith+,App performance,"Needs Appfigures plus Ubisoft platform data. Public proxy, not Appfigures.",https://www.ubisoft.com/en-us/game/rocksmith/plus,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0118,Fretello,App performance,"Needs Appfigures; specialist guitar-learning app. Public proxy, not Appfigures.",https://fretello.com/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0119,Musora,App performance,"Needs Appfigures plus web membership validation. Public proxy, not Appfigures.",https://www.musora.com/,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0120,BandLab,App performance,"Apple public proxy: 4.8 rating, 484K ratings; company proxy: 100M+ creators and fans. Public proxy, not Appfigures. iTunes Lookup refreshed 2026-06-11; public proxy only, not Appfigures.",https://apps.apple.com/us/app/bandlab-music-maker-beats/id968585775,Pending Appfigures / Public proxy only,Yes,Do not treat as Appfigures; replace with credentialed export when available.,2026-06-11
CL-0121,ABRSM,Education reach / role,"Official site states 650,000+ exams and assessments each year in 93 countries; 2024 report lists 445,229 qualifications in 2023/24. Shapes formal progression, parent trust and curriculum mapping.",https://www.abrsm.org/,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0122,Trinity College London,Education reach / role,Global exam board with 150+ years of assessment heritage. Alternative formal benchmark with modern repertoire and digital exam options.,https://www.trinitycollege.com/local-trinity/UK/a-modern-approach-to-music-exams,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0123,RSL Awards / Rockschool,Education reach / role,"Global exam and qualification network; UK Music notes 150+ examiners/assessors/moderators. Important for guitar, drums, vocals and modern-music progression.",https://www.rslawards.com/,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0124,Music Teachers National Association,Education reach / role,"Public profiles cite 17,000+ members across US state/local affiliates. Private teachers influence learner choices, retention and app recommendations.",https://www.mtna.org/index.html,Medium,Yes,Validate current reach if used as quantified proof.,2026-06-11
CL-0125,Berklee Online,Education reach / role,"Official FAQ: 30,000+ musicians from 140+ countries have taken courses; classes cap at 20. High-trust benchmark for instructor-led online music education.",https://online.berklee.edu/about/berklee-online,High,Yes,Validate current reach if used as quantified proof.,2026-06-11
