player_id,player_name,confirmed_owner,confirmed_relationship,relationship_status,sensitivity,last_contact_date,suggested_next_step,notes,external_market_relevance,source_url,last_checked_date
udio,Udio,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Important to understand whether AI creation competes with, complements, or expands music learning.",https://www.udio.com/,2026-06-11
moises,Moises,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Strong example of AI improving practice workflows without replacing instrument learning.,https://moises.ai/,2026-06-11
duolingo,Duolingo,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Not music-specific, but highly relevant for learning loops, retention, brand, and AI in education.",https://investors.duolingo.com/investor-relations,2026-06-11
guitar-tricks,Guitar Tricks,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Important guitar-specific subscription benchmark for curriculum depth, song-led learning, and adult beginner messaging.",https://www.guitartricks.com/,2026-06-11
pickup-music,Pickup Music,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Useful benchmark for higher-intent guitarists, modern aesthetics, community, and guided weekly practice.",https://www.pickupmusic.com/,2026-06-11
rocksmith-plus,Rocksmith+,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Important benchmark for real-time feedback, licensed songs, game-like practice, and multi-instrument expansion.",https://www.ubisoft.com/en-us/game/rocksmith/plus,2026-06-11
gibson-app,Gibson App,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Shows how a major guitar brand can bundle learning with instrument purchase and beginner motivation.,https://www.gibson.app/,2026-06-11
chordify,Chordify,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Owns a high-intent moment between song discovery and self-guided practice.,https://chordify.net/,2026-06-11
youtube-artists,YouTube,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"A major substitute and funnel for self-guided learning; it shapes inspiration, discovery, and expectations of free content.",https://artists.youtube/,2026-06-11
gibson,Gibson,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Hardware brands can capture learner intent before software choice and can bundle education into purchase moments.,https://www.gibson.com/,2026-06-11
positive-grid,Positive Grid,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Shows how hardware can become an app-led practice surface and compete for daily guitar time.,https://www.positivegrid.com/,2026-06-11
fl-studio,FL Studio,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Shapes the path from musical interest to beat-making, production, and creator identity.",https://www.image-line.com/,2026-06-11
elevenlabs-music,ElevenLabs Music,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Important because major AI audio platforms may enter music creation, rights, and creator tooling at scale.",https://elevenlabs.io/music,2026-06-11
spotify-artists,Spotify for Artists,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Important for how hobbyists understand music success, release goals, artist identity, and AI-authenticity debates.",https://artists.spotify.com/en/home,2026-06-11
tiktok-artists,TikTok for Artists,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"TikTok can shape song discovery, cultural momentum, and what learners want to play.",https://artists.tiktok.com/,2026-06-11
musora,Musora,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Adds an important multi-instrument subscription benchmark beyond single-instrument apps.,https://www.musora.com/,2026-06-11
fretello,Fretello,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,"Directly relevant for guitar onboarding, lesson pacing, personalization, and app-store positioning.",https://fretello.com/app/,2026-06-11
chord-ai,Chord ai,,,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,To be completed by Yousician,,"Assign internal owner and confirm whether a current, historical or sensitive relationship exists.",,Important because it moves AI directly into the song-to-practice moment that GuitarTuna/Yousician users care about.,https://apps.apple.com/us/app/chord-ai-play-any-song/id1446177109,2026-06-11
