date,move_type,player_or_signal,what_happened,why_it_matters_for_yousician,source_id,source_url,confidence,category_mapping,last_checked_date,news_grade,include_in_board_timeline,curation_note
2025-01-22,Funding / AI utility,Music.AI / Moises,Music.AI raised a $40M Series A and reported Moises at 50M users.,AI practice utilities have meaningful reach and investor momentum.,musicai_series_a_2025,https://music.ai/blog/press/music-ai-raises-40m-series-a/,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2025-01-29,Policy / copyright,U.S. Copyright Office,The U.S. Copyright Office published Part 2 of its AI report on copyrightability of AI outputs.,"Human-authorship rules affect generated content, practice tools and creator workflows.",usco_ai_part2_2025,https://www.copyright.gov/ai/,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2025-02-01,Creator community,BandLab,BandLab continued to present itself as a 100M+ creator and fan platform.,Creation communities create an alternate hobby path after or instead of formal learning.,bandlab_100m,https://www.bandlab.com/?lang=en,High,Music hobby software ecosystem,2026-06-11,C,Appendix only,"Useful context, but weaker as a 'who made the news' item."
2025-03-17,Education network signal,School of Rock,School of Rock social channels referenced roughly 400 global locations.,Offline music schools remain scaled trust and accountability channels.,school_of_rock_locations_2025,https://www.schoolofrock.com/locations,Medium,"Teachers, schools and music education organizations",2026-06-11,B,Yes,News-grade event
2025-04-10,Artist platform,TikTok for Artists beta,Coverage indicated TikTok was preparing a dedicated artist insights platform before global launch.,TikTok is formalizing the data layer around music discovery.,tiktok_artists_beta_2025,https://www.thefader.com/2025/04/10/tiktok-for-artists-spotify,Medium,"Media, publishers and cultural drivers",2026-06-11,B,Yes,News-grade event
2025-04-28,M&A / creator tools,Splice / Spitfire Audio,Splice announced the acquisition of Spitfire Audio.,Creator-tool platforms are consolidating premium sound libraries for AI-assisted creation.,splice_spitfire_2025,https://www.prnewswire.com/news-releases/splice-to-supercharge-music-creation-ecosystem-with-acquisition-of-spitfire-audio-positioning-itself-to-lead-in-the-7b-music-software-and-services-sector-302439458.html,High,Music hobby software ecosystem,2026-06-11,A,Yes,News-grade event
2025-05-01,Education platform,Berklee Online,"Berklee Online positioned itself as the world's largest online music school with 30,000+ learners from 140+ countries.","High-trust online music education offers a benchmark for credentialed, instructor-led learning.",berklee_online_about,https://online.berklee.edu/about/berklee-online,High,"Teachers, schools and music education organizations",2026-06-11,A,Yes,News-grade event
2025-06-01,Teacher network,Lessonface,Lessonface continued positioning as a marketplace for vetted online music teachers and live lessons.,Teacher marketplaces remain a relationship layer between self-guided apps and formal lessons.,lessonface_home,https://www.lessonface.com/home,Medium,"Teachers, schools and music education organizations",2026-06-11,C,Appendix only,"Useful context, but weaker as a 'who made the news' item."
2025-06-03,Artist insights,TikTok for Artists,"TikTok for Artists launched globally after beta testing, initially in 26 countries.",TikTok is becoming structured music analytics and promotion infrastructure.,tiktok_for_artists_2025,https://newsroom.tiktok.com/en-us/tiktok-for-artists-launches,High,"Media, publishers and cultural drivers",2026-06-11,A,Yes,News-grade event
2025-07-01,Practice ecosystem,MuseScore,"MuseScore public app listings emphasized interactive sheet music, tabs and large score access.",Notation and repertoire platforms influence what advancing learners practice.,musescore_app_2026,https://apps.apple.com/us/app/musescore-sheet-music-chords/id835731296,Medium,Music hobby software ecosystem,2026-06-11,C,Appendix only,"Useful context, but weaker as a 'who made the news' item."
2025-08-01,AI music generation,ElevenLabs Music,ElevenLabs launched Eleven Music for prompt-based music generation.,Major voice/audio AI providers moved into full music creation.,eleven_music_2025,https://elevenlabs.io/blog/eleven-music-is-here,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2025-08-20,AI practice / creation,Moises AI Studio,Moises launched AI Studio for adaptive AI music creation support.,Practice utilities are expanding toward creation co-pilots.,moises_ai_studio_2025,https://moises.ai/newsroom/product-announcements/launch-ai-studio/,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2025-09-01,Creator education,Pianote / Musora,"Musora education brands continued to scale YouTube-led funnels for piano, drums, guitar and voice.",Creator-led learning ecosystems compete for attention and trust before app conversion.,pianote_official,https://www.pianote.com/,Medium,"Influencers, creators and educators",2026-06-11,C,Appendix only,"Useful context, but weaker as a 'who made the news' item."
2025-09-25,AI governance,Spotify,Spotify announced stronger AI protections for artists and songwriters.,"Streaming-platform AI rules shape discovery, identity and rights expectations.",spotify_ai_protections_2025,https://newsroom.spotify.com/2025-09-25/spotify-strengthens-ai-protections/,High,"Media, publishers and cultural drivers",2026-06-11,A,Yes,News-grade event
2025-09-30,Funding call,Creative Europe MEDIA,The 2026 Video Games and Immersive Content Development call opened.,"Interactive learning, gamified practice or immersive music products may fit future EU creative funding routes.",creative_europe_games_2026,https://www.creativeeuropeireland.eu/funding-opportunities/call/video-games-immersive-content,High,Funding,2026-06-11,A,Yes,News-grade event
2025-10-02,Product launch,Splice INSTRUMENT,Splice moved beyond samples with a cloud-connected instrument plugin drawing on Spitfire libraries.,Creator platforms are reducing friction from inspiration to playable sound.,splice_instrument_2025,https://www.musicradar.com/music-tech/for-the-first-time-were-moving-beyond-samples-splice-unveils-free-plugin-and-virtual-instrument-platform-with-hundreds-of-free-presets,Medium,Music hobby software ecosystem,2026-06-11,B,Yes,News-grade event
2025-10-22,Youth performance,School of Rock / Warped Tour,School of Rock locations announced student performers at Warped Tour Orlando.,Performance-based learning connects lessons with youth culture and live music moments.,school_of_rock_warped_2025,https://www.schoolofrock.com/locations/rockvillecentre/news/events/school-of-rock-set-to-hit-the-stage-at-warped-tour-in-orlando,Medium,"Teachers, schools and music education organizations",2026-06-11,B,Yes,News-grade event
2025-10-29,AI rights / licensing,UMG / Udio,UMG and Udio settled litigation and announced agreements for a licensed AI music creation platform planned for 2026.,A licensed AI music lane is emerging alongside litigation.,umg_udio_2025,https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2025-11-19,Funding / AI music,Suno,Suno raised a $250M Series C at a $2.45B post-money valuation.,AI music generation has crossed into large-scale venture-backed consumer infrastructure.,suno_series_c_2025,https://suno.com/blog/series-c-announcement,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2025-11-25,AI rights / partnership,Warner Music Group / Suno,Warner Music Group and Suno announced a partnership and settlement path for licensed AI models.,"Major labels are beginning to define opt-in licensed AI models, not only legal opposition.",wmg_suno_2025,https://www.wmg.com/news/warner-music-group-and-suno-forge-groundbreaking-partnership,High,AI companies and AI initiatives,2026-06-11,A,Yes,News-grade event
2025-12-03,Artist data,Spotify Wrapped for Artists,"Spotify provided personalized Wrapped experiences for artists, songwriters, creators and advertisers.",Music platforms are expanding shareable analytics loops around identity and fandom.,spotify_wrapped_artists_2025,https://newsroom.spotify.com/2025-12-03/wrapped-for-artists-songwriters-creators-authors-advertisers/,High,"Media, publishers and cultural drivers",2026-06-11,A,Yes,News-grade event
2025-12-10,Cultural signal,TikTok Year in Music,TikTok named global 2025 music signals and highlighted Add to Music App behavior.,"Short-form music demand increasingly predicts what users may want to sing, play or learn.",tiktok_top_music_2025,https://newsroom.tiktok.com/tiktok-reveals-the-top-artists-and-songs-of-2025?lang=en,High,"Media, publishers and cultural drivers",2026-06-11,A,Yes,News-grade event
2025-12-14,Award / EdTech,WorldWiDE EdTech Awards,The 2026 WorldWiDE EdTech Awards nomination deadline closed.,Education awards provide low-cost credibility routes if evidence of learning impact is documented.,worldwide_edtech_2026,https://worldwide-edtech.org/faq,Medium,Awards,2026-06-11,B,Yes,News-grade event
2026-01-07,Funding deadline,EIC Accelerator,The first 2026 EIC Accelerator full-application cut-off occurred.,Public deep-tech funding remains relevant for high-risk AI practice or learning innovations.,eic_deadlines_2026,https://innovation-manager.com/eic-accelerator-2026-key-application-dates-announced/,Medium,Funding,2026-06-11,B,Yes,News-grade event
2026-01-22,Investor thesis,Menlo Ventures / Suno,Menlo framed Suno as participatory music creation in its Series C thesis.,Venture theses are shifting from music consumption to participatory creation.,menlo_suno_2025,https://menlovc.com/perspective/the-future-of-music-is-participatory-leading-sunos-series-c/,High,Investors active in the space,2026-06-11,A,Yes,News-grade event
2026-02-06,Award deadline,Webby Awards,The 30th Annual Webby Awards extended entry deadline closed.,"Apps, software, immersive and creator categories are relevant for brand and product recognition.",webby_deadline_2026,https://www.webbyawards.com/how-to-enter-the-webby-awards/,High,Awards,2026-06-11,A,Yes,News-grade event
2026-02-11,Funding deadline,Creative Europe MEDIA,The 2026 Video Games and Immersive Content Development call deadline closed.,Music-learning/game-like products need early planning for EU creative funding cycles.,creative_europe_deadline_2026,https://www.euro-access.eu/en/calls/2391/Video-games-and-immersive-content-development,Medium,Funding,2026-06-11,B,Yes,News-grade event
2026-02-17,Funding result,EIC Accelerator,61 startups and SMEs secured EIC Accelerator support in the latest round.,EU deep-tech funding remains competitive but meaningful for high-risk innovation.,eic_results_2026,https://eic.ec.europa.eu/news/61-start-ups-and-smes-secure-eic-support-latest-round-eic-accelerator-2026-02-17_en,High,Funding,2026-06-11,A,Yes,News-grade event
2026-03-01,Awards / education,EdTech Awards,The EdTech Awards 2026 announced finalists and winners in March 2026.,Learning-product credibility can be strengthened through education technology awards.,edtech_awards_2026,https://www.edtechdigest.com/2026-finalists-winners/,High,Awards,2026-06-11,A,Yes,News-grade event
2026-03-15,Rights / royalties,Spotify Loud & Clear,Spotify's 2026 transparency reporting said 2025 payouts to the music industry exceeded $11B.,"Rights-holder economics affect catalog, artist relations and music-learning licensing context.",spotify_loud_clear_2026,https://www.musicradar.com/music-industry/streaming-sharing/spotify-is-the-highest-paying-retailer-globally-paying-the-music-industry-more-than-usd11-billion-in-2025-spotify-reveals-how-much-it-actually-pays-out-to-musicians-in-its-new-loud-and-clear-report,Medium,"Media, publishers and cultural drivers",2026-06-11,B,Yes,News-grade event
2026-04-02,AI awards,Tom's Guide AI Awards,Tom's Guide AI Awards nominations closed for 2026.,Consumer AI awards are useful external signals for AI utility positioning.,toms_guide_ai_awards_2026,https://www.tomsguide.com/ai/introducing-the-toms-guide-ai-awards-2026,Medium,Awards,2026-06-11,B,Yes,News-grade event
2026-04-15,AI creator tools,Splice,Splice announced generative AI tools tied to its creator compensation model.,Human-made licensed sample catalogs are being combined with traceable generative workflows.,splice_ai_tools_2026,https://www.musicbusinessworldwide.com/splice-launches-ai-tools-that-compensate-sample-creators-when-their-sounds-are-used/,Medium,AI companies and AI initiatives,2026-06-11,B,Yes,News-grade event
2026-04-20,Award opening,Brandon Hall EdTech Awards,The Excellence in EdTech Awards launched for 2026 entries with a September deadline.,Operationally relevant award for learning products with measurable outcomes.,brandon_hall_edtech_2026,https://excellenceawards.brandonhall.com/edtech/,High,Awards,2026-06-11,A,Yes,News-grade event
2026-04-30,Platform growth,YouTube Music / Premium,Alphabet reported record quarterly growth for YouTube Music and Premium non-trial subscribers.,"YouTube remains central to hobby music discovery, lessons, creators and paid music consumption.",youtube_music_growth_2026,https://www.digitalmusicnews.com/2026/04/30/youtube-music-subscribers-q1-2026/,Medium,"Media, publishers and cultural drivers",2026-06-11,B,Yes,News-grade event
2026-05-01,Developer ecosystem,Google Play,Google Play summarized Q1 2026 discovery and developer tools updates.,App-store discovery and merchandising remain important for music-learning acquisition.,google_play_q1_2026,https://google.play/the-latest/2026-q1/,High,Music learning apps and platforms,2026-06-11,A,Yes,News-grade event
2026-05-18,Awards / iOS,Apple Design Awards,Apple announced 2026 Apple Design Award finalists.,"Apple design recognition remains a benchmark for app craft, accessibility and interaction.",apple_ada_finalists_2026,https://developer.apple.com/news/?id=8t3j66i7,High,Awards,2026-06-11,A,Yes,News-grade event
2026-05-22,Creator / hardware culture,Rick Beato / Gibson / Nuno Bettencourt,Guitar media highlighted Rick Beato's live collaboration at Six-String Sanctuary and use of signature Gibson gear.,"Creator educators increasingly bridge learning, artist culture and hardware marketing.",guitarworld_beato_nuno_2026,https://www.guitarworld.com/artists/guitarists/nuno-bettencourt-and-rick-beato-play-thin-lizzy,Medium,"Influencers, creators and educators",2026-06-11,B,Yes,News-grade event
2026-06-01,App accelerator,Google Play Apps Accelerator,Google Play announced the first Apps Accelerator class of 2026.,"Platform accelerator programs are a route for app growth, merchandising and developer relationships.",google_play_accelerator_2026,https://developer.android.com/blog/posts/meet-the-class-of-2026-for-the-google-play-apps-accelerator,High,Funding,2026-06-11,A,Yes,News-grade event
2026-06-03,Funding / public RDI,Business Finland,Business Finland funding listings showed open R&D and internationalization funding routes.,"As a Finnish company, Yousician can screen public RDI funding against product and AI initiatives.",business_finland_funding_2026,https://www.businessfinland.fi/en/services/funding/,High,Funding,2026-06-11,A,Yes,News-grade event
2026-06-03,Funding / AI music,Suno,Suno announced more than $400M in Series D funding at a $5.4B post-money valuation.,"Strengthens Suno as the leading AI music-creation market signal and reinforces AI creation as a market-structure force, not only a feature trend.",suno_series_d_2026,https://suno.com/blog/series-d-announcement,High,AI companies and AI initiatives,2026-06-22,A,Yes,News-grade event; refreshed in v3.9 source skim.
2026-06-05,AI rights / labor,AFM / UMG / WMG,The American Federation of Musicians sued UMG and WMG over AI licensing to Suno and Udio.,AI-rights exposure now includes session musician compensation and labor claims.,afm_ai_licensing_2026,https://pitchfork.com/news/musicians-union-sues-universal-and-warner-over-ai-use,Medium,AI companies and AI initiatives,2026-06-11,B,Yes,News-grade event
2026-06-08,AI creation tooling,BandLab SongStarter,BandLab's help center updated SongStarter guidance for AI-generated song ideas.,Large creator communities are normalizing AI as a lightweight idea-generation layer.,bandlab_songstarter_2026,https://help.bandlab.com/hc/en-us/articles/24226593087001-Generate-Ideas-with-SongStarter-AI,High,Music hobby software ecosystem,2026-06-11,A,Yes,News-grade event
2026-06-10,Award / iOS,Apple Design Awards,Apple revealed 2026 Design Award winners across app and game categories.,Awards can reveal current interaction and visual-quality benchmarks for consumer apps.,apple_ada_winners_2026,https://www.apple.com/newsroom/2026/06/apple-reveals-winners-of-the-2026-apple-design-awards/,High,Awards,2026-06-11,A,Yes,News-grade event
2026-06-10,Hardware + AI software,Fender Studio Pro / Moises,Fender Studio Pro update was reported to integrate Moises stem separation and a smart studio assistant.,"Instrument brands are moving deeper into app, DAW and AI utility territory.",fender_moises_2026,https://www.musicradar.com/music-tech/daws/ai-isnt-the-destination-making-music-is-fender-looks-forward-as-its-studio-pro-daw-integrates-moises-stem-separation-and-a-smart-studio-assistant,Medium,"Instrument brands, manufacturers and distributors",2026-06-11,B,Yes,News-grade event
2026-06-10,AI rights / platform data,Google / YouTube / Lyria,Independent musicians sued Google over alleged use of YouTube-uploaded music for Lyria AI training.,Creator-platform data rights are becoming material to AI music tooling and trust.,google_lyria_lawsuit_2026,https://www.theverge.com/tech/947770/google-lyria-music-ai-lawsuit-youtube,Medium,AI companies and AI initiatives,2026-06-11,B,Yes,News-grade event
