player_id,name,entity_kind,category_id,category_name,strategic_layer,type,subcategory,geography,reach,business_model,ownership_or_investors,ai_signal,ai_score,relevance,momentum,key_player,relationship,why_they_matter,description,recent_or_next_check,tags,source_status,source_needs,research_owner,requires_credentialed_data,is_signal_only,evidence_summary,source_ids,source_titles,source_urls,open_questions
sweetwater,Sweetwater,Channel / hardware,hardware,Hardware & retail channels,Acquisition layer,Retail channel,"US gear purchase, sales support, and content surface",US,Large US music retailer,"Ecommerce, sales support, content",Private,Research recommendation and support initiatives,1,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Can shape the US beginner journey and partner ecosystem around instrument purchases.,Large music gear retailer with strong content and sales support surface.,Track education bundles and learning partnerships.,retail | channel | US,Public commerce/company sources linked; needs traffic data,Similarweb | Company source,Partnerships,TRUE,FALSE,"Sweetwater evidence now includes official retail and mobile app sources validating US gear retail, Sales Engineer support, Gear Exchange, and mobile channel relevance.",sweetwater_official | sweetwater_app,Sweetwater music retail | Sweetwater mobile app,https://www.sweetwater.com/ | https://www.sweetwater.com/app/,Beginner bundle strategy | Education or referral partnerships | Retail-to-learning funnel data
bandlab,BandLab,Company / product,creation,Creation & production tools,Hobby expansion,Creation and social platform,"Cloud creation, collaboration, community, and AI-assisted tools",Global,Large creator community,"Creator tools, social, services",BandLab Technologies,AI-assisted creation and creator workflow research target,5,5,5,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Represents the shift from learning an instrument to making and sharing music quickly.,Cloud music creation and collaboration ecosystem with strong creator and community signals.,"Monitor AI creation, social loops, and creator monetization moves.",creation | community | AI,Needs company + funding + app data,Appfigures | Crunchbase | Audience source | Company source,Creator ecosystem,FALSE,FALSE,"Official product and App Store sources validate creation, collaboration, mobile studio, community, and AI tooling signals.",bandlab_official | bandlab_app_store | research_guitartuna_foundational,BandLab music creation platform | BandLab on App Store | Foundational Knowledge of GuitarTuna Users,https://www.bandlab.com/?lang=en | https://apps.apple.com/us/app/bandlab-music-maker-beats/id968585775 | https://yousician.atlassian.net/wiki/spaces/Research/pages/6040977421,Creator-to-learner overlap | Current monetization and AI roadmap
musescore,MuseScore,Company / product,creation,Creation & production tools,Hobby expansion,Notation and repertoire ecosystem,"Notation, sheet music, arranging, and repertoire discovery",Global,Large musician utility,"Freemium, subscription, open source ecosystem",Muse Group,"Research notation, arrangement, and content tooling AI",3,4,4,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important for learners who move into reading, arranging, composing, and repertoire discovery.","Notation, sheet music, and practice utility ecosystem.",Track Muse Group bundling and AI-assisted notation signals.,notation | sheet music | utility,Public product sources linked; needs traffic data,Similarweb | Company source,Creator ecosystem,TRUE,FALSE,"MuseScore and Muse Group sources validate notation, sheet-music ecosystem, ownership context, and scale signals.",musescore_org | muse_group_musescore | muse_group,MuseScore Studio | MuseScore Studio by Muse Group | Muse Group ecosystem,https://musescore.org/ | https://www.mu.se/musescore-studio | https://www.mu.se/,Learner usage vs creator usage | Bundling with Ultimate Guitar/Muse Group
songsterr,Songsterr,Company / product,practice,Song & practice ecosystems,Core habit layer,Song-practice utility,"Tabs, playback, and song-led practice",Global,Large tab utility,"Freemium, subscription",To verify,"Research discovery, tab generation, and practice support",2,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Captures song-driven practice intent and recurring hobby use.,"Tab player and practice utility for guitar, bass, and drums.",Track app growth and feature releases.,tabs | practice | utility,Public app/product sources linked; needs traffic data,Appfigures | Similarweb | Company source,Practice & content,TRUE,FALSE,"Official and app-store sources validate tab/practice utility, play-along audio, subscription app model, and AI tab-creation signal.",songsterr_official | songsterr_app_store,Songsterr | Songsterr on App Store,https://www.songsterr.com/ | https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291,Traffic and app performance | Licensing and catalog depth
splice,Splice,Channel / hardware,creation,Creation & production tools,Hobby expansion,Creator marketplace,"Samples, sounds, AI search, and creator workflow",Global,Large creator tool,Subscription and marketplace,Private,"AI search, generation, and workflow research target",4,4,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Shows how hobbyists and creators pay for tools that accelerate making music.,"Sample, sound, and creator workflow platform.","Monitor AI search, creation workflow, and creator subscription moves.",creation | samples | subscription,Needs company + funding source,Crunchbase | Audience source | Programme source | Company source,Creator ecosystem,FALSE,FALSE,"Official Splice sources validate sample marketplace, royalty-free sample discovery, production workflow, and AI sample-tool movement.",splice_official | splice_samples_search | splice_ai_tools_news,Splice | Splice Sounds search | Splice generative AI tools coverage,https://splice.com/ | https://splice.com/sounds/search/samples | https://www.musicradar.com/music-tech/splice-launches-generative-ai-tools-that-fairly-compensate-sample-creators,Hobbyist vs professional usage | AI licensing/commercial model details
ableton,Ableton,Company / product,creation,Creation & production tools,Hobby expansion,Production platform,"DAW, hardware, learning resources, and creator workflow",Global,Major music creation platform,Software and hardware,Private,Research assisted production and learning workflows,2,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Influences the path from learning to creating, especially for modern electronic music hobbyists.",Professional and hobbyist music production platform.,Track education initiatives and creator workflow launches.,DAW | creation | education,Public company/product source linked; needs performance validation,Audience source | Company source,Creator ecosystem,FALSE,FALSE,"Official Ableton sources validate Live, Push, and broader creator-tool ecosystem for music production workflows.",ableton_official | ableton_live | ableton_push,Ableton | Ableton Live | Ableton Push,https://www.ableton.com/en/ | https://www.ableton.com/en/live/what-is-live/ | https://www.ableton.com/en/push/,Learning/onboarding influence for beginners | Education channel signal
suno,Suno,Company / product,ai,AI music & audio technology,Disruption layer,AI creation disruptor,Prompt-to-song generation and rights/licensing risk,Global,High visibility AI platform,AI generation subscription,Private,Core AI music generation,5,5,5,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"May shift the meaning of music participation, motivation, and creation for casual users.",AI music generation platform that changes how non-musicians create complete songs.,"Monitor product adoption, copyright litigation, licensing, and consumer behavior.",AI | generation | disruptor,Needs funding + legal + usage source,Crunchbase | Legal/news | Company source,AI strategy,FALSE,FALSE,Official Suno sources validate prompt-to-song creation and company positioning; RIAA source marks major legal/industry risk.,suno_about | suno_product | suno_app_store | riaa_suno_udio,Suno About | Suno product page | Suno on App Store | RIAA cases against Suno and Udio,https://suno.com/about | https://suno.com/ | https://apps.apple.com/us/app/suno-ai-songs-music/id6480136315 | https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/,"Licensing status by label | Consumer adoption, retention, and paid conversion"
udio,Udio,Company / product,ai,AI music & audio technology,Disruption layer,AI creation disruptor,Prompt-based music generation and licensing transition,Global,High visibility AI platform,AI generation subscription,Private,Core AI music generation,5,4,5,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important to understand whether AI creation competes with, complements, or expands music learning.",AI music generation platform for prompt-based song creation.,"Monitor adoption, rights issues, and user segments.",AI | generation | watchlist,Needs funding + legal + usage source,Crunchbase | Legal/news | Company source,AI strategy,FALSE,FALSE,Official Udio and App Store sources validate AI music creation; RIAA and UMG sources mark litigation and licensing transition signals.,udio_official | udio_app_store | riaa_suno_udio | udio_umg_deal,Udio | Udio on App Store | RIAA cases against Suno and Udio | UMG and Udio strategic agreement,https://www.udio.com/ | https://apps.apple.com/us/app/udio-ai-music-maker-studio/id6511211165 | https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/ | https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/,Status of licensed product launch | Impact on broader AI music legitimacy
moises,Moises,Company / product,ai,AI music & audio technology,Disruption layer,AI practice utility,"Stem separation, smart practice, and musician audio tools",Global,Large musician utility,"Freemium, subscription",Private,"Audio separation, practice tools, smart music utilities",5,5,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Strong example of AI improving practice workflows without replacing instrument learning.,AI-powered music practice and audio utility used by musicians and learners.,"Track practice features, app growth, and partnerships.",AI | practice | utility,Needs app + company source,Appfigures | Company source,AI strategy,FALSE,FALSE,"Official, app-store, Google Play, and education-partner sources validate AI practice utility, stem separation, musician practice, and classroom relevance.",moises_official | moises_app_store | moises_google_play | moises_musicfirst,Moises | Moises on App Store | Moises on Google Play | Moises for education via MusicFirst,https://moises.ai/ | https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612 | https://play.google.com/store/apps/details?hl=en_US&id=ai.moises | https://www.musicfirst.com/software/moises,App growth trend | Partnership and education revenue relevance
duolingo,Duolingo,Company / product,education,Education & pedagogy benchmarks,Learning model layer,Consumer learning benchmark,"Habit, gamification, AI tutoring, and subscription education",Global,Very large public consumer education app,"Freemium, subscription, ads",Public company,"AI personalization, tutoring, and content systems research target",4,4,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Not music-specific, but highly relevant for learning loops, retention, brand, and AI in education.","Consumer learning benchmark for habit formation, gamification, and subscription education.","Monitor AI product launches, pricing, and retention mechanics.",education | gamification | benchmark,Needs public filings + product source,Company source,Learning strategy,FALSE,FALSE,"Investor and SEC sources provide high-confidence public-company evidence for learning-platform scale, business model, and AI/ML disclosures.",duolingo_ir | duolingo_q1_2025_sec | duolingo_2025_10k,Duolingo Investor Relations | Duolingo Q1 FY25 SEC filing | Duolingo FY2025 Form 10-K,https://investors.duolingo.com/investor-relations | https://www.sec.gov/Archives/edgar/data/1562088/000156208825000098/q1fy25duolingo3-31x25share.htm | https://investors.duolingo.com/static-files/f19d76fb-dee4-4f13-96ae-138ebfd0f2d3,"Transferability of language-learning loops to music practice | Music course relevance, if any"
kahoot,Kahoot,Institution,education,Education & pedagogy benchmarks,Learning model layer,Classroom engagement benchmark,"Game-based learning, schools, content generation, and teacher channels",Global,Large education platform,"SaaS, consumer, education",Private; investor consortium led by Goldman Sachs Asset Management,Research content generation and classroom AI,3,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Useful benchmark for game based learning engagement, classroom channels, education buyers, and AI assisted content creation.",Game-based learning platform with broad teacher and classroom reach.,"Track AI content generation, classroom distribution, enterprise learning, and education buyer signals.",education | classroom | benchmark,Official product and AI sources linked; ownership and market relevance should be cited before board use,Company source,Learning strategy,FALSE,FALSE,"Kahoot evidence now includes official AI tools and trust pages, validating AI-assisted content creation and availability in addition to general game-based learning positioning.",kahoot_home | kahoot_ai_press | kahoot_ai_support | kahoot_ai_tools | kahoot_trust_ai,Kahoot! | Kahoot AI-powered study tools | Kahoot AI tools support | Kahoot AI tools | Kahoot AI-powered features trust page,https://kahoot.com/ | https://kahoot.com/press/2025/09/22/new-ai-powered-study-tools-back-to-school/ | https://support.kahoot.com/hc/en-us/articles/17152945038355-How-to-use-Kahoot-AI-tools | https://kahoot.com/ai-tools/ | https://trust.kahoot.com/ai-powered-features-in-kahoot/,School distribution depth by market | Learning platform AI adoption | Relevance transfer to music learning
brilliant,Brilliant,Company / product,education,Education & pedagogy benchmarks,Learning model layer,Interactive learning benchmark,"Active problem-solving, serious learning, and AI tutoring",Global,Large niche education app,Subscription,Private,Research adaptive learning and AI tutoring signals,3,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Relevant benchmark for serious-but-accessible learning, habit, and subscription depth.",Interactive learning platform known for active problem-solving formats.,Track AI tutoring and course expansion.,education | interactive | benchmark,Public company/product source linked; needs performance validation,Company source,Learning strategy,FALSE,FALSE,"Official and app-store sources validate active problem-solving, interactive learning, and AI/personal tutor positioning.",brilliant_home | brilliant_google_play,Brilliant | Brilliant on Google Play,https://brilliant.org/ | https://play.google.com/store/apps/details?hl=en_US&id=org.brilliant.android,Habit mechanics that transfer to music | Depth vs casual learner fit
marty-music,Marty Music,Individual / creator,practice,Song & practice ecosystems,Core habit layer,Creator-led practice influence,"YouTube guitar lessons, trust, songs, and beginner funnel",Global,Large YouTube audience,"Free content, courses, sponsorships",Independent,Research creator tooling and content workflows,1,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Creators shape trust, song choice, and the early learner funnel.",Creator-led guitar learning presence with broad beginner reach.,"Track audience, partnerships, and course packaging.",creator | YouTube | guitar,Public web/creator sources linked; needs audience data,Similarweb | Audience source | Company source,Practice & content,FALSE,FALSE,Official Marty Music source supports creator-led guitar education; still needs audience validation from YouTube/social analytics.,marty_music_site | research_market_cross_product,Marty Music | Market Research for both Yousician and GuitarTuna,https://www.martymusic.com/ | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,Audience scale | Partnership fit and content overlap
berklee-online,Berklee Online,Institution,education,Education & pedagogy benchmarks,Learning model layer,Formal music education benchmark,"Online courses, certificates, degrees, and institutional credibility",Global,Large institutional music education brand,"Courses, certificates, degrees",Berklee College of Music,"Research AI in curriculum, practice support, and online education delivery",2,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Represents the formal education end of the ecosystem and shapes credibility, curriculum, and learner aspirations.",Institutional online music education platform connected to a globally known music school.,"Track online program growth, AI curriculum, and partnerships.",education | institution | teacher of teachers,Public institution/program sources linked; needs adoption data,Company source,Learning strategy,FALSE,FALSE,"Official Berklee Online sources validate formal music education, online courses, certificates, and degree programs.",berklee_online | berklee_courses,Berklee Online | Berklee Online certificates,https://online.berklee.edu/ | https://online.berklee.edu/certificates,Consumer beginner relevance | Partnership or credibility role
mtna,MTNA,Institution,education,Education & pedagogy benchmarks,Learning model layer,Teacher network,"Private teacher trust, professional development, and certification",US,Large teacher network,"Membership, events, certification",Nonprofit association,"Research teacher tooling, certification, and AI adoption signals",1,3,2,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Teacher networks influence how learners are guided, what tools are trusted, and how digital learning is perceived.",Music Teachers National Association represents private and studio music teachers.,"Track conferences, awards, certification, and technology adoption.",teachers | association | credibility,Public association source linked; needs adoption data,Award source | Company source,Learning strategy,FALSE,FALSE,"Official MTNA sources validate teacher-network role, professional development, membership, and music-teaching ecosystem relevance.",mtna_home | mtna_membership,Music Teachers National Association | MTNA membership,https://www.mtna.org/index.html | https://www.mtna.org/Membership.html,Digital-learning adoption among members | Potential teacher-trust implications
rsi,Rousseau,Individual / creator,practice,Song & practice ecosystems,Core habit layer,Cultural practice influence,Aspirational piano performance content and digital-native motivation,Global,Large YouTube audience,"Content, sponsorship, platform influence",Independent,Research AI visual performance and content tooling relevance,1,3,2,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Cultural driver for piano aspiration, especially among digital-native hobbyists.",Highly visible piano performance content brand.,Track audience and collaboration signals.,creator | piano | culture,Creator/audience source linked; needs audience validation,Audience source | Company source,Practice & content,FALSE,FALSE,"Creator/audience evidence is light: Rousseau is retained as cultural signal, but needs stronger audience and channel verification.",rousseau_youtube,Rousseau YouTube channel,https://www.youtube.com/@Rousseau,Audience scale | Current content cadence | Relevance beyond piano aspiration
apple-garageband,GarageBand,Company / product,creation,Creation & production tools,Hobby expansion,Accessible creation app,Beginner-friendly creation inside the Apple ecosystem,Global,Preinstalled / broad Apple reach,Ecosystem software,Apple,Research Apple music AI and creator tooling direction,2,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Makes music creation available before many users think of formal learning.,Accessible music creation product in the Apple ecosystem.,Monitor Apple creative tools and AI announcements.,creation | Apple | beginner,Public Apple product source linked; needs usage validation,Appfigures | Company source,Creator ecosystem,FALSE,FALSE,Official Apple and App Store sources validate GarageBand as accessible creation software inside Apple's ecosystem.,apple_garageband | garageband_app_store,GarageBand for iOS | GarageBand on App Store,https://www.apple.com/ios/garageband/ | https://apps.apple.com/us/app/garageband/id408709785,Learning-to-creation journey overlap | Current AI/creator-tool direction from Apple
accel,Accel,Strategic signal,signals,"Capital, media & opportunity signals",Strategic signal layer,Capital signal,"VC and growth-investor signal for consumer, AI, and marketplaces",Global,Major venture firm,Venture capital,Private partnership,"Investor signal in consumer, SaaS, AI, and marketplaces",3,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Investor behavior helps reveal where capital expects learning, consumer subscriptions, and AI to move.",Large venture firm relevant as a capital and market-signal node.,"Track music, education, AI, and consumer subscription investments.",investor | capital | market signal,Public portfolio/source linked; needs monitoring setup,Crunchbase | Company source,Strategy / monitoring,FALSE,TRUE,Official Accel sources validate capital-signal role and portfolio context; not a direct player unless mapped to specific investments.,accel_home | accel_atoms,Accel | Accel Atoms portfolio,https://www.accel.com/ | https://atoms.accel.com/portfolio,Music/education/AI investment theses | Relevant portfolio companies
techcrunch,TechCrunch,Monitoring signal,signals,"Capital, media & opportunity signals",Strategic signal layer,News signal source,"Startup, funding, product launch, AI, and M&A monitoring",Global,Large tech media outlet,Media,To verify,"News signal for AI, funding, product launches",2,2,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Useful for tracking last-24-month moves in AI, apps, funding, and acquisitions.",Technology media source for funding and startup momentum signals.,Use as part of news monitoring feed.,media | news | signals,Public monitoring source linked; needs feed setup,Company source,Strategy / monitoring,FALSE,TRUE,"TechCrunch is a monitoring source for startup/product/funding signals, not a strategic player itself.",techcrunch_home,TechCrunch,https://techcrunch.com/,Automated query setup | Signal quality vs noise
