player_id,player,entity_kind,brief_category,dashboard_category,strategic_layer,type,subcategory,geography,estimated_size_reach,business_model,ownership_investors,ai_or_recent_initiatives,relevance_score,momentum_score,ai_score,key_player,what_they_are,why_they_matter,evidence_status,source_confidence,requires_credentialed_data,relationship_status,source_ids,source_urls,open_questions,last_checked_date,owner_placeholder
bandlab,BandLab,Company / product,Music hobby software ecosystem,Creation & production tools,Hobby expansion,Creation and social platform,"Cloud creation, collaboration, community, and AI-assisted tools",Global,Large creator community,"Creator tools, social, services",BandLab Technologies,AI-assisted creation and creator workflow research target,5,5,5,TRUE,Cloud music creation and collaboration ecosystem with strong creator and community signals.,Represents the shift from learning an instrument to making and sharing music quickly.,Needs company + funding + app data,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,bandlab_official | bandlab_app_store | research_guitartuna_foundational,https://www.bandlab.com/?lang=en | https://apps.apple.com/us/app/bandlab-music-maker-beats/id968585775 | https://yousician.atlassian.net/wiki/spaces/Research/pages/6040977421,Creator-to-learner overlap | Current monetization and AI roadmap,2026-06-11,Yousician owner TBD
musescore,MuseScore,Company / product,Music hobby software ecosystem,Creation & production tools,Hobby expansion,Notation and repertoire ecosystem,"Notation, sheet music, arranging, and repertoire discovery",Global,Large musician utility,"Freemium, subscription, open source ecosystem",Muse Group,"Research notation, arrangement, and content tooling AI",4,4,3,FALSE,"Notation, sheet music, and practice utility ecosystem.","Important for learners who move into reading, arranging, composing, and repertoire discovery.",Public product sources linked; needs traffic data,Low,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,musescore_org | muse_group_musescore | muse_group,https://musescore.org/ | https://www.mu.se/musescore-studio | https://www.mu.se/,Learner usage vs creator usage | Bundling with Ultimate Guitar/Muse Group,2026-06-11,Yousician owner TBD
songsterr,Songsterr,Company / product,Music hobby software ecosystem,Song & practice ecosystems,Core habit layer,Song-practice utility,"Tabs, playback, and song-led practice",Global,Large tab utility,"Freemium, subscription",To verify,"Research discovery, tab generation, and practice support",4,3,2,FALSE,"Tab player and practice utility for guitar, bass, and drums.",Captures song-driven practice intent and recurring hobby use.,Public app/product sources linked; needs traffic data,Low,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,songsterr_official | songsterr_app_store,https://www.songsterr.com/ | https://apps.apple.com/us/app/songsterr-tabs-chords/id399211291,Traffic and app performance | Licensing and catalog depth,2026-06-11,Yousician owner TBD
splice,Splice,Channel / hardware,Music hobby software ecosystem,Creation & production tools,Hobby expansion,Creator marketplace,"Samples, sounds, AI search, and creator workflow",Global,Large creator tool,Subscription and marketplace,Private,"AI search, generation, and workflow research target",4,4,4,TRUE,"Sample, sound, and creator workflow platform.",Shows how hobbyists and creators pay for tools that accelerate making music.,Needs company + funding source,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,splice_official | splice_samples_search | splice_ai_tools_news,https://splice.com/ | https://splice.com/sounds/search/samples | https://www.musicradar.com/music-tech/splice-launches-generative-ai-tools-that-fairly-compensate-sample-creators,Hobbyist vs professional usage | AI licensing/commercial model details,2026-06-11,Yousician owner TBD
ableton,Ableton,Company / product,Music hobby software ecosystem,Creation & production tools,Hobby expansion,Production platform,"DAW, hardware, learning resources, and creator workflow",Global,Major music creation platform,Software and hardware,Private,Research assisted production and learning workflows,4,3,2,FALSE,Professional and hobbyist music production platform.,"Influences the path from learning to creating, especially for modern electronic music hobbyists.",Public company/product source linked; needs performance validation,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,ableton_official | ableton_live | ableton_push,https://www.ableton.com/en/ | https://www.ableton.com/en/live/what-is-live/ | https://www.ableton.com/en/push/,Learning/onboarding influence for beginners | Education channel signal,2026-06-11,Yousician owner TBD
suno,Suno,Company / product,AI companies and AI initiatives,AI music & audio technology,Disruption layer,AI creation disruptor,Prompt-to-song generation and rights/licensing risk,Global,High visibility AI platform,AI generation subscription,Private,Core AI music generation,5,5,5,TRUE,AI music generation platform that changes how non-musicians create complete songs.,"May shift the meaning of music participation, motivation, and creation for casual users.",Needs funding + legal + usage source,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,suno_about | suno_product | suno_app_store | riaa_suno_udio,https://suno.com/about | https://suno.com/ | https://apps.apple.com/us/app/suno-ai-songs-music/id6480136315 | https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/,"Licensing status by label | Consumer adoption, retention, and paid conversion",2026-06-11,Yousician owner TBD
udio,Udio,Company / product,AI companies and AI initiatives,AI music & audio technology,Disruption layer,AI creation disruptor,Prompt-based music generation and licensing transition,Global,High visibility AI platform,AI generation subscription,Private,Core AI music generation,4,5,5,TRUE,AI music generation platform for prompt-based song creation.,"Important to understand whether AI creation competes with, complements, or expands music learning.",Needs funding + legal + usage source,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,udio_official | udio_app_store | riaa_suno_udio | udio_umg_deal,https://www.udio.com/ | https://apps.apple.com/us/app/udio-ai-music-maker-studio/id6511211165 | https://www.riaa.com/record-companies-bring-landmark-cases-for-responsible-ai-againstsuno-and-udio-in-boston-and-new-york-federal-courts-respectively/ | https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/,Status of licensed product launch | Impact on broader AI music legitimacy,2026-06-11,Yousician owner TBD
moises,Moises,Company / product,AI companies and AI initiatives,AI music & audio technology,Disruption layer,AI practice utility,"Stem separation, smart practice, and musician audio tools",Global,Large musician utility,"Freemium, subscription",Private,"Audio separation, practice tools, smart music utilities",5,4,5,TRUE,AI-powered music practice and audio utility used by musicians and learners.,Strong example of AI improving practice workflows without replacing instrument learning.,Needs app + company source,Medium,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,moises_official | moises_app_store | moises_google_play | moises_musicfirst,https://moises.ai/ | https://apps.apple.com/us/app/moises-the-musicians-app/id1515796612 | https://play.google.com/store/apps/details?hl=en_US&id=ai.moises | https://www.musicfirst.com/software/moises,App growth trend | Partnership and education revenue relevance,2026-06-11,Yousician owner TBD
duolingo,Duolingo,Company / product,"Teachers, schools and music education organizations / wider education",Education & pedagogy benchmarks,Learning model layer,Consumer learning benchmark,"Habit, gamification, AI tutoring, and subscription education",Global,Very large public consumer education app,"Freemium, subscription, ads",Public company,"AI personalization, tutoring, and content systems research target",4,4,4,TRUE,"Consumer learning benchmark for habit formation, gamification, and subscription education.","Not music-specific, but highly relevant for learning loops, retention, brand, and AI in education.",Needs public filings + product source,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,duolingo_ir | duolingo_q1_2025_sec | duolingo_2025_10k,https://investors.duolingo.com/investor-relations | https://www.sec.gov/Archives/edgar/data/1562088/000156208825000098/q1fy25duolingo3-31x25share.htm | https://investors.duolingo.com/static-files/f19d76fb-dee4-4f13-96ae-138ebfd0f2d3,"Transferability of language-learning loops to music practice | Music course relevance, if any",2026-06-11,Yousician owner TBD
kahoot,Kahoot,Institution,"Teachers, schools and music education organizations / wider education",Education & pedagogy benchmarks,Learning model layer,Classroom engagement benchmark,"Game-based learning, schools, content generation, and teacher channels",Global,Large education platform,"SaaS, consumer, education",Private; investor consortium led by Goldman Sachs Asset Management,Research content generation and classroom AI,4,3,3,TRUE,Game-based learning platform with broad teacher and classroom reach.,"Useful benchmark for game based learning engagement, classroom channels, education buyers, and AI assisted content creation.",Official product and AI sources linked; ownership and market relevance should be cited before board use,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,kahoot_home | kahoot_ai_press | kahoot_ai_support | kahoot_ai_tools | kahoot_trust_ai,https://kahoot.com/ | https://kahoot.com/press/2025/09/22/new-ai-powered-study-tools-back-to-school/ | https://support.kahoot.com/hc/en-us/articles/17152945038355-How-to-use-Kahoot-AI-tools | https://kahoot.com/ai-tools/ | https://trust.kahoot.com/ai-powered-features-in-kahoot/,School distribution depth by market | Learning platform AI adoption | Relevance transfer to music learning,2026-06-11,Yousician owner TBD
brilliant,Brilliant,Company / product,"Teachers, schools and music education organizations / wider education",Education & pedagogy benchmarks,Learning model layer,Interactive learning benchmark,"Active problem-solving, serious learning, and AI tutoring",Global,Large niche education app,Subscription,Private,Research adaptive learning and AI tutoring signals,3,3,3,FALSE,Interactive learning platform known for active problem-solving formats.,"Relevant benchmark for serious-but-accessible learning, habit, and subscription depth.",Public company/product source linked; needs performance validation,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,brilliant_home | brilliant_google_play,https://brilliant.org/ | https://play.google.com/store/apps/details?hl=en_US&id=org.brilliant.android,Habit mechanics that transfer to music | Depth vs casual learner fit,2026-06-11,Yousician owner TBD
marty-music,Marty Music,Individual / creator,Music hobby software ecosystem,Song & practice ecosystems,Core habit layer,Creator-led practice influence,"YouTube guitar lessons, trust, songs, and beginner funnel",Global,Large YouTube audience,"Free content, courses, sponsorships",Independent,Research creator tooling and content workflows,4,3,1,FALSE,Creator-led guitar learning presence with broad beginner reach.,"Creators shape trust, song choice, and the early learner funnel.",Public web/creator sources linked; needs audience data,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,marty_music_site | research_market_cross_product,https://www.martymusic.com/ | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,Audience scale | Partnership fit and content overlap,2026-06-11,Yousician owner TBD
berklee-online,Berklee Online,Institution,"Teachers, schools and music education organizations / wider education",Education & pedagogy benchmarks,Learning model layer,Formal music education benchmark,"Online courses, certificates, degrees, and institutional credibility",Global,Large institutional music education brand,"Courses, certificates, degrees",Berklee College of Music,"Research AI in curriculum, practice support, and online education delivery",3,3,2,FALSE,Institutional online music education platform connected to a globally known music school.,"Represents the formal education end of the ecosystem and shapes credibility, curriculum, and learner aspirations.",Public institution/program sources linked; needs adoption data,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,berklee_online | berklee_courses,https://online.berklee.edu/ | https://online.berklee.edu/certificates,Consumer beginner relevance | Partnership or credibility role,2026-06-11,Yousician owner TBD
mtna,MTNA,Institution,"Teachers, schools and music education organizations / wider education",Education & pedagogy benchmarks,Learning model layer,Teacher network,"Private teacher trust, professional development, and certification",US,Large teacher network,"Membership, events, certification",Nonprofit association,"Research teacher tooling, certification, and AI adoption signals",3,2,1,FALSE,Music Teachers National Association represents private and studio music teachers.,"Teacher networks influence how learners are guided, what tools are trusted, and how digital learning is perceived.",Public association source linked; needs adoption data,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,mtna_home | mtna_membership,https://www.mtna.org/index.html | https://www.mtna.org/Membership.html,Digital-learning adoption among members | Potential teacher-trust implications,2026-06-11,Yousician owner TBD
rsi,Rousseau,Individual / creator,Music hobby software ecosystem,Song & practice ecosystems,Core habit layer,Cultural practice influence,Aspirational piano performance content and digital-native motivation,Global,Large YouTube audience,"Content, sponsorship, platform influence",Independent,Research AI visual performance and content tooling relevance,3,2,1,FALSE,Highly visible piano performance content brand.,"Cultural driver for piano aspiration, especially among digital-native hobbyists.",Creator/audience source linked; needs audience validation,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,rousseau_youtube,https://www.youtube.com/@Rousseau,Audience scale | Current content cadence | Relevance beyond piano aspiration,2026-06-11,Yousician owner TBD
apple-garageband,GarageBand,Company / product,Music hobby software ecosystem,Creation & production tools,Hobby expansion,Accessible creation app,Beginner-friendly creation inside the Apple ecosystem,Global,Preinstalled / broad Apple reach,Ecosystem software,Apple,Research Apple music AI and creator tooling direction,4,3,2,FALSE,Accessible music creation product in the Apple ecosystem.,Makes music creation available before many users think of formal learning.,Public Apple product source linked; needs usage validation,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,apple_garageband | garageband_app_store,https://www.apple.com/ios/garageband/ | https://apps.apple.com/us/app/garageband/id408709785,Learning-to-creation journey overlap | Current AI/creator-tool direction from Apple,2026-06-11,Yousician owner TBD
accel,Accel,Strategic signal,"Investors, media, awards, funding and cultural drivers","Capital, media & opportunity signals",Strategic signal layer,Capital signal,"VC and growth-investor signal for consumer, AI, and marketplaces",Global,Major venture firm,Venture capital,Private partnership,"Investor signal in consumer, SaaS, AI, and marketplaces",3,3,3,FALSE,Large venture firm relevant as a capital and market-signal node.,"Investor behavior helps reveal where capital expects learning, consumer subscriptions, and AI to move.",Public portfolio/source linked; needs monitoring setup,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,accel_home | accel_atoms,https://www.accel.com/ | https://atoms.accel.com/portfolio,Music/education/AI investment theses | Relevant portfolio companies,2026-06-11,Yousician owner TBD
techcrunch,TechCrunch,Monitoring signal,"Investors, media, awards, funding and cultural drivers","Capital, media & opportunity signals",Strategic signal layer,News signal source,"Startup, funding, product launch, AI, and M&A monitoring",Global,Large tech media outlet,Media,To verify,"News signal for AI, funding, product launches",2,3,2,FALSE,Technology media source for funding and startup momentum signals.,"Useful for tracking last-24-month moves in AI, apps, funding, and acquisitions.",Public monitoring source linked; needs feed setup,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,techcrunch_home,https://techcrunch.com/,Automated query setup | Signal quality vs noise,2026-06-11,Yousician owner TBD
bett-awards,BETT Awards,Monitoring signal,"Investors, media, awards, funding and cultural drivers","Capital, media & opportunity signals",Strategic signal layer,Recognition signal,Education technology awards and credibility opportunities,International,Education industry signal,Awards and recognition,To verify,Award categories may signal education AI positioning,2,2,2,FALSE,Education awards example for credibility and category mapping.,Awards can reveal positioning opportunities and credibility markers for learning products.,Public award source linked; needs criteria review,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,bett_awards | bett_categories,https://uk.bettshow.com/awards | https://bettawards.com/categories/,Fit for Yousician/GuitarTuna positioning | Submission timing and category relevance,2026-06-11,Yousician owner TBD
creative-europe,Creative Europe,Monitoring signal,"Investors, media, awards, funding and cultural drivers","Capital, media & opportunity signals",Strategic signal layer,Public funding signal,"Cultural, creative-sector, digital, and education funding opportunities",Europe,European cultural and creative sectors,Grants and public funding,European Union programme,"Research calls that connect culture, education, digital tools, and innovation",2,2,1,FALSE,"Public funding example for culture, education, and creative-sector initiatives.","Funding programmes can shape non-dilutive opportunities, partnerships, credibility, and strategic projects around music education.",Public funding source linked; needs eligibility review,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,creative_europe_programme | creative_europe_calls,https://commission.europa.eu/funding-and-tenders/find-funding/eu-funding-programmes/creative-europe_en | https://culture.ec.europa.eu/funding/calls,Eligibility of music-learning/digital projects | Consortium requirements and timing,2026-06-11,Yousician owner TBD
guitar-tricks,Guitar Tricks,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Structured guitar learning platform,"Large guitar lesson library, song tutorials, and guided beginner path",Global / US,Large online guitar education platform,Subscription lessons and tools,Guitar Tricks Inc.,"Research personalization, practice planning, and lesson recommendation signals",4,3,2,TRUE,"Long-running online guitar lesson platform with structured courses, songs, and learning tools.","Important guitar-specific subscription benchmark for curriculum depth, song-led learning, and adult beginner messaging.",Public app/product sources linked; needs Appfigures + traffic data,Pending,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,guitar_tricks_official | guitar_tricks_google_play | guitar_tricks_app_store,https://www.guitartricks.com/ | https://play.google.com/store/apps/details?hl=en_US&id=com.guitartricks.gt | https://apps.apple.com/us/app/guitar-lessons-guitar-tricks/id931639254,Current traffic and app performance | Ownership/company structure confirmation | Subscription conversion benchmarks,2026-06-11,Yousician owner TBD
truefire,TrueFire,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Advanced guitar learning library,Large interactive lesson library and artist-led courses,Global / US,Large guitar education library,Subscription and course marketplace,TrueFire Studios,"Research discovery, curriculum navigation, and adaptive practice opportunities",3,3,2,FALSE,Deep online guitar lesson library with interactive tools and specialist instructors.,"Relevant for depth, intermediate/advanced learners, teacher-led content, and long-tail guitar education.",Public product/app sources linked; needs traffic data,Low,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,truefire_official | truefire_app_store | truefire_google_play,https://truefire.com/online-guitar-lessons | https://apps.apple.com/us/app/truefire-guitar-lessons/id690143001 | https://play.google.com/store/apps/details?hl=en_US&id=com.truefire.android3,Traffic and app performance | Ownership/company structure | Teacher-marketplace economics,2026-06-11,Yousician owner TBD
pickup-music,Pickup Music,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Structured guitar learning platform,"Modern guitar pathways, challenges, artist series, and instructor feedback",Global / US,Growing modern guitar platform,Subscription and community,"Pickup Music, Inc.","Research personalized feedback, pathway design, and practice accountability",4,4,2,TRUE,Modern guitar-learning platform built around structured pathways and contemporary player identity.,"Useful benchmark for higher-intent guitarists, modern aesthetics, community, and guided weekly practice.",Public product/app/company sources linked; needs traffic data,Medium,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,pickup_music_official | pickup_music_courses | pickup_music_app_store | pickup_music_pricing | pickup_music_linkedin,https://www.pickupmusic.com/ | https://www.pickupmusic.com/courses | https://apps.apple.com/us/app/pickup-music-guitar-bass/id6503952069 | https://www.pickupmusic.com/pricing | https://www.linkedin.com/company/pickup-music-inc,Traffic and app performance | Ownership/current company structure | Instructor feedback economics,2026-06-11,Yousician owner TBD
rocksmith-plus,Rocksmith+,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Interactive song-learning service,"Real-instrument feedback for guitar, bass, and piano",Global,Major game-backed learning brand,Subscription learning service,Ubisoft,"Research note detection, adaptive difficulty, and song-based feedback mechanics",4,3,3,TRUE,"Interactive music-learning service built around real instruments, song catalog, and feedback.","Important benchmark for real-time feedback, licensed songs, game-like practice, and multi-instrument expansion.",Needs app data + catalog + subscription performance,Low,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,rocksmith_plus_ubisoft | rocksmith_plus_app_store,https://www.ubisoft.com/en-us/game/rocksmith/plus | https://apps.apple.com/au/app/rocksmith-fast-music-learning/id1571139807,Current song catalog strength | Subscription retention and platform split,2026-06-11,Yousician owner TBD
gibson-app,Gibson App,Company / product,Music learning apps and platforms,Learning apps & curricula,Core market,Brand-backed guitar learning app,"Guitar learning path, real-time feedback, tuner, chords, and tabs",Global / US,Brand-backed learning app,App subscription and hardware bundle,Gibson,Research real-time feedback and brand-led personalization,4,3,3,TRUE,Guitar-learning app connected to Gibson's hardware and brand ecosystem.,Shows how a major guitar brand can bundle learning with instrument purchase and beginner motivation.,Needs Appfigures + bundle performance,Pending,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,gibson_app_official | gibson_app_store | gibson_official,https://www.gibson.app/ | https://apps.apple.com/us/app/gibson-learn-to-play-guitar/id1116032929 | https://www.gibson.com/,App performance | Impact of guitar/amp purchase bundles,2026-06-11,Yousician owner TBD
