claim_id,entity,claim_type,claim,source_url,source_confidence,review_action,main_narrative_status,main_narrative_rule,last_checked_date
CL-0065,School of Rock,Market move,2025-03-17: School of Rock social channels referenced roughly 400 global locations.,https://www.schoolofrock.com/locations,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0066,Splice / Spitfire Audio,Market move,2025-04-28: Splice announced the acquisition of Spitfire Audio.,https://www.prnewswire.com/news-releases/splice-to-supercharge-music-creation-ecosystem-with-acquisition-of-spitfire-audio-positioning-itself-to-lead-in-the-7b-music-software-and-services-sector-302439458.html,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0067,TikTok for Artists,Market move,"2025-06-03: TikTok for Artists launched globally after beta testing, initially in 26 countries.",https://newsroom.tiktok.com/en-us/tiktok-for-artists-launches,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0068,ElevenLabs Music,Market move,2025-08-01: ElevenLabs launched Eleven Music for prompt-based music generation.,https://elevenlabs.io/blog/eleven-music-is-here,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0069,Moises AI Studio,Market move,2025-08-20: Moises launched AI Studio for adaptive AI music creation support.,https://moises.ai/newsroom/product-announcements/launch-ai-studio/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0070,Spotify,Market move,2025-09-25: Spotify announced stronger AI protections for artists and songwriters.,https://newsroom.spotify.com/2025-09-25/spotify-strengthens-ai-protections/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0071,Creative Europe MEDIA,Market move,2025-09-30: The 2026 Video Games and Immersive Content Development call opened.,https://www.creativeeuropeireland.eu/funding-opportunities/call/video-games-immersive-content,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0072,Splice INSTRUMENT,Market move,2025-10-02: Splice moved beyond samples with a cloud-connected instrument plugin drawing on Spitfire libraries.,https://www.musicradar.com/music-tech/for-the-first-time-were-moving-beyond-samples-splice-unveils-free-plugin-and-virtual-instrument-platform-with-hundreds-of-free-presets,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0073,UMG / Udio,Market move,2025-10-29: UMG and Udio settled litigation and announced agreements for a licensed AI music creation platform planned for 2026.,https://www.universalmusic.com/universal-music-group-and-udio-announce-udios-first-strategic-agreements-for-new-licensed-ai-music-creation-platform/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0074,Suno,Market move,2025-11-19: Suno raised a $250M Series C at a $2.45B post-money valuation.,https://suno.com/blog/series-c-announcement,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0075,Warner Music Group / Suno,Market move,2025-11-25: Warner Music Group and Suno announced a partnership and settlement path for licensed AI models.,https://www.wmg.com/news/warner-music-group-and-suno-forge-groundbreaking-partnership,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0076,Spotify Wrapped for Artists,Market move,"2025-12-03: Spotify provided personalized Wrapped experiences for artists, songwriters, creators and advertisers.",https://newsroom.spotify.com/2025-12-03/wrapped-for-artists-songwriters-creators-authors-advertisers/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0077,TikTok Year in Music,Market move,2025-12-10: TikTok named global 2025 music signals and highlighted Add to Music App behavior.,https://newsroom.tiktok.com/tiktok-reveals-the-top-artists-and-songs-of-2025?lang=en,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0078,WorldWiDE EdTech Awards,Market move,2025-12-14: The 2026 WorldWiDE EdTech Awards nomination deadline closed.,https://worldwide-edtech.org/faq,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0079,EIC Accelerator,Market move,2026-01-07: The first 2026 EIC Accelerator full-application cut-off occurred.,https://innovation-manager.com/eic-accelerator-2026-key-application-dates-announced/,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0080,Webby Awards,Market move,2026-02-06: The 30th Annual Webby Awards extended entry deadline closed.,https://www.webbyawards.com/how-to-enter-the-webby-awards/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0081,Creative Europe MEDIA,Market move,2026-02-11: The 2026 Video Games and Immersive Content Development call deadline closed.,https://www.euro-access.eu/en/calls/2391/Video-games-and-immersive-content-development,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0082,EdTech Awards,Market move,2026-03-01: The EdTech Awards 2026 announced finalists and winners in March 2026.,https://www.edtechdigest.com/2026-finalists-winners/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0083,Spotify Loud & Clear,Market move,2026-03-15: Spotify's 2026 transparency reporting said 2025 payouts to the music industry exceeded $11B.,https://www.musicradar.com/music-industry/streaming-sharing/spotify-is-the-highest-paying-retailer-globally-paying-the-music-industry-more-than-usd11-billion-in-2025-spotify-reveals-how-much-it-actually-pays-out-to-musicians-in-its-new-loud-and-clear-report,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0084,Splice,Market move,2026-04-15: Splice announced generative AI tools tied to its creator compensation model.,https://www.musicbusinessworldwide.com/splice-launches-ai-tools-that-compensate-sample-creators-when-their-sounds-are-used/,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0085,Brandon Hall EdTech Awards,Market move,2026-04-20: The Excellence in EdTech Awards launched for 2026 entries with a September deadline.,https://excellenceawards.brandonhall.com/edtech/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0086,YouTube Music / Premium,Market move,2026-04-30: Alphabet reported record quarterly growth for YouTube Music and Premium non-trial subscribers.,https://www.digitalmusicnews.com/2026/04/30/youtube-music-subscribers-q1-2026/,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0087,Google Play,Market move,2026-05-01: Google Play summarized Q1 2026 discovery and developer tools updates.,https://google.play/the-latest/2026-q1/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0088,Apple Design Awards,Market move,2026-05-18: Apple announced 2026 Apple Design Award finalists.,https://developer.apple.com/news/?id=8t3j66i7,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0089,Google Play Apps Accelerator,Market move,2026-06-01: Google Play announced the first Apps Accelerator class of 2026.,https://developer.android.com/blog/posts/meet-the-class-of-2026-for-the-google-play-apps-accelerator,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0090,AFM / UMG / WMG,Market move,2026-06-05: The American Federation of Musicians sued UMG and WMG over AI licensing to Suno and Udio.,https://pitchfork.com/news/musicians-union-sues-universal-and-warner-over-ai-use,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0091,BandLab SongStarter,Market move,2026-06-08: BandLab's help center updated SongStarter guidance for AI-generated song ideas.,https://help.bandlab.com/hc/en-us/articles/24226593087001-Generate-Ideas-with-SongStarter-AI,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0092,Google / YouTube / Lyria,Market move,2026-06-10: Independent musicians sued Google over alleged use of YouTube-uploaded music for Lyria AI training.,https://www.theverge.com/tech/947770/google-lyria-music-ai-lawsuit-youtube,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0093,Fender Studio Pro / Moises,Market move,2026-06-10: Fender Studio Pro update was reported to integrate Moises stem separation and a smart studio assistant.,https://www.musicradar.com/music-tech/daws/ai-isnt-the-destination-making-music-is-fender-looks-forward-as-its-studio-pro-daw-integrates-moises-stem-separation-and-a-smart-studio-assistant,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0094,Apple Design Awards,Market move,2026-06-10: Apple revealed 2026 Design Award winners across app and game categories.,https://www.apple.com/newsroom/2026/06/apple-reveals-winners-of-the-2026-apple-design-awards/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0095,ABRSM,Market move,"2024-10-01: ABRSM's 2024 impact report quantified global exams, qualifications and teacher support.",https://www.abrsm.org/sites/default/files/2024-09/Impact%20Report%202024%20FINAL.pdf,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0096,Muse Group / Hal Leonard,Market move,2025-01-15: Muse Group unified Hal Leonard US and Europe into a global publishing operation.,https://www.mu.se/posts/muse-group-unifies-hal-leonard-us-and-hal-leonard-europe-into-a-global-powerhouse,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0097,TikTok for Artists beta,Market move,2025-04-10: Coverage indicated TikTok was preparing a dedicated artist insights platform before global launch.,https://www.thefader.com/2025/04/10/tiktok-for-artists-spotify,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0098,Berklee Online,Market move,"2025-05-01: Berklee Online positioned itself as the world's largest online music school with 30,000+ learners from 140+ countries.",https://online.berklee.edu/about/berklee-online,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0099,School of Rock / Warped Tour,Market move,2025-10-22: School of Rock locations announced student performers at Warped Tour Orlando.,https://www.schoolofrock.com/locations/rockvillecentre/news/events/school-of-rock-set-to-hit-the-stage-at-warped-tour-in-orlando,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0100,Menlo Ventures / Suno,Market move,2026-01-22: Menlo framed Suno as participatory music creation in its Series C thesis.,https://menlovc.com/perspective/the-future-of-music-is-participatory-leading-sunos-series-c/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0101,EIC Accelerator,Market move,2026-02-17: 61 startups and SMEs secured EIC Accelerator support in the latest round.,https://eic.ec.europa.eu/news/61-start-ups-and-smes-secure-eic-support-latest-round-eic-accelerator-2026-02-17_en,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0102,Tom's Guide AI Awards,Market move,2026-04-02: Tom's Guide AI Awards nominations closed for 2026.,https://www.tomsguide.com/ai/introducing-the-toms-guide-ai-awards-2026,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0103,Rick Beato / Gibson / Nuno Bettencourt,Market move,2026-05-22: Guitar media highlighted Rick Beato's live collaboration at Six-String Sanctuary and use of signature Gibson gear.,https://www.guitarworld.com/artists/guitarists/nuno-bettencourt-and-rick-beato-play-thin-lizzy,Medium,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0104,Business Finland,Market move,2026-06-03: Business Finland funding listings showed open R&D and internationalization funding routes.,https://www.businessfinland.fi/en/services/funding/,High,Verify source before final board snapshot.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0121,ABRSM,Education reach / role,"Official site states 650,000+ exams and assessments each year in 93 countries; 2024 report lists 445,229 qualifications in 2023/24. Shapes formal progression, parent trust and curriculum mapping.",https://www.abrsm.org/,High,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0122,Trinity College London,Education reach / role,Global exam board with 150+ years of assessment heritage. Alternative formal benchmark with modern repertoire and digital exam options.,https://www.trinitycollege.com/local-trinity/UK/a-modern-approach-to-music-exams,High,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0123,RSL Awards / Rockschool,Education reach / role,"Global exam and qualification network; UK Music notes 150+ examiners/assessors/moderators. Important for guitar, drums, vocals and modern-music progression.",https://www.rslawards.com/,High,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0124,Music Teachers National Association,Education reach / role,"Public profiles cite 17,000+ members across US state/local affiliates. Private teachers influence learner choices, retention and app recommendations.",https://www.mtna.org/index.html,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0125,Berklee Online,Education reach / role,"Official FAQ: 30,000+ musicians from 140+ countries have taken courses; classes cap at 20. High-trust benchmark for instructor-led online music education.",https://online.berklee.edu/about/berklee-online,High,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0126,School of Rock,Education reach / role,"Public social/current pages reference 400+ locations; official locator validates broad footprint. Owns parent trust, accountability and local performance motivation.",https://www.schoolofrock.com/locations,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0127,Lessonface,Education reach / role,Marketplace with verified student reviews and live online format. Shows where teacher-led lessons move online after TakeLessons closure.,https://www.lessonface.com/home,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0128,TakeLessons,Education reach / role,Closure FAQ confirms account access ended 2024-11-15. Signals fragility and consolidation risk in lesson marketplaces.,https://learn.microsoft.com/en-us/takelessons/takelessons-closure-faq,High,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0129,Musora,Education reach / role,Large YouTube-led education ecosystem; exact membership requires validation. Strong example of creator-trust and multi-instrument subscription funnels.,https://www.musora.com/,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0130,Pianote,Education reach / role,Public site and YouTube proxies show large reach; exact paid base pending. Competes with piano apps through human-teacher trust and YouTube funnels.,https://www.pianote.com/,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0131,Drumeo,Education reach / role,YouTube public proxy: 5.47M subscribers. A leading model for instrument-specific creator-led learning.,https://www.youtube.com/%40DrumeoOfficial,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0132,Scott's Bass Lessons,Education reach / role,Public proxies: 1.57M YouTube subscribers and large course platform. Shows how specialist instrument education can support serious hobbyists.,https://scottsbasslessons.com/,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0133,ArtistWorks,Education reach / role,Specialist paid education platform; scale requires validation. Model for asynchronous teacher feedback and premium instructor access.,https://artistworks.com/,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0134,tonebase,Education reach / role,Specialist subscription platform; scale requires validation. Relevant for serious learners and premium teacher-of-teachers positioning.,https://www.tonebase.co/,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0135,Royal Conservatory of Music,Education reach / role,North American formal-learning institution. Benchmark for parent/teacher trust and formal progression.,https://www.rcmusic.com/learning,High,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0136,Flat for Education,Education reach / role,Teacher/school SaaS; exact school penetration pending. Shows teacher-managed music workflows in SaaS form.,https://flat.io/edu,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0137,Noteflight Learn,Education reach / role,"Established education-facing notation platform; ownership/traffic requires validation. Relevant to composition, notation and teacher workflows.",https://www.noteflight.com/learn,Medium,Validate current reach if used as quantified proof.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0138,JustinGuitar,Creator reach,1.98M public site proxy / Needs platform export,https://www.justinguitar.com/,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0139,Marty Music,Creator reach,4.9M / SocialBlade proxy: 9.26M monthly views,https://www.youtube.com/martymusic,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0140,Rick Beato,Creator reach,5.67M / vidIQ proxy: 84.82M monthly views,https://www.youtube.com/RickBeato,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0141,Paul Davids,Creator reach,3.67M / Official site proxy: 520M total video views,https://pauldavidsguitar.com/,High,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0142,Andy Guitar,Creator reach,3.13M / SocialBlade proxy: 396M total views,https://www.youtube.com/user/andycrowley,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0143,GuitarZero2Hero,Creator reach,1.8M / Needs validation,https://www.youtube.com/channel/UCasFZzbM8JJ6dqSVEgL9VVg,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0145,Swiftlessons,Creator reach,980K / vidIQ proxy: 881.87K monthly views,https://www.youtube.com/user/swiftlessons,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0146,Pianote,Creator reach,To validate; vidIQ shows strong growth / vidIQ proxy: 8.13M monthly views,https://www.pianote.com/,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0147,Piano With Jonny,Creator reach,478K / vidIQ proxy available,https://pianowithjonny.com/,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0148,Nahre Sol,Creator reach,830K / Wikipedia proxy: 85M+ total views,https://www.youtube.com/c/NahreSol,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0149,Piano From Scratch,Creator reach,248K / Needs validation,https://www.youtube.com/c/PianoFromScratch,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0150,Drumeo,Creator reach,5.47M / vidIQ proxy: 34.43M monthly views,https://www.youtube.com/%40DrumeoOfficial,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0151,Scott's Bass Lessons,Creator reach,1.57M / SocialBlade proxy: 476M total views,https://scottsbasslessons.com/,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0152,BassBuzz,Creator reach,978K / vidIQ proxy: 1.24M monthly views,https://www.youtube.com/c/BassBuzz,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0153,Adam Neely,Creator reach,1.83M / vidIQ proxy: 414K monthly views,https://www.youtube.com/adamneely,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0154,David Bennett Music Theory,Creator reach,1.3M / Needs validation,https://www.youtube.com/%40DavidBennettPiano,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0155,Signals Music Studio,Creator reach,713K / Official site proxy: 40M+ views,https://signalsmusic.studio/,High,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0156,Andrew Huang,Creator reach,2.37M / SocialBlade proxy: 379M total views,https://www.youtube.com/channel/UCdcemy56JtVTrsFIOoqvV8g,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0157,Charles Cornell,Creator reach,1.89M / SocialBlade proxy: 267M total views,https://www.youtube.com/%40CharlesCornellStudios,Medium,Refresh platform metrics before campaign or board use.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
CL-0164,Menlo Ventures,Investor / deal relevance,Led Suno $250M Series C in 2025. Relevant because AI music creation is now a major VC-backed consumer thesis.,https://menlovc.com/perspective/the-future-of-music-is-participatory-leading-sunos-series-c/,High,Validate deal data with primary source or investor database.,Eligible for internal discussion,May be used in the main narrative with source URL and confidence visible; final source skim recommended before external leadership/investor use.,2026-06-11
